epoch,global_step,learning_rate,generator_learning_rate,L_total,L_K,L_generator,L_multi,L_rec,L_forecast,L_var,L_stability,L_physics,L_mass,L_operator,val_rollout,val_reconstruction,val_mass,val_operator,epoch_time,samples_per_sec,peak_gpu_memory
1,119,0.001,0.005,1.1532701700137407,8.875047010387933e-05,0.05034269340870355,0.007385524219582159,0.27203086963090944,0.2719302496542691,0.0011336191589156029,0.00032086637536219326,0.0,0.05700855663529149,0.006550617660020069,0.048479443451478366,0.04793846058614907,0.06678063164720134,0.00112343897982057,26.9312634189846,140.35732157056444,2906962432
2,238,0.001,0.005,0.018281319541868967,7.102550962709184e-07,0.0004375462822656753,6.162606162159511e-05,0.004405317215912479,0.0044478614172216374,0.0,0.00013453760111973025,0.0,0.0037846036400166604,0.00010357523009415239,3.443159751311344e-05,3.648978016003856e-05,2.3464323192543123e-05,9.955517492969755e-07,26.43451651802752,142.99486042886986,2907331072
3,357,0.001,0.005,0.00024816411431563437,1.003562792824991e-07,8.03579337862271e-05,8.965304924680264e-06,3.4093857477523794e-05,3.8049905095095423e-05,1.6234952016492133e-08,5.486064919510181e-05,0.0,2.5713343955180668e-05,9.489943105715308e-07,5.395042382934619e-05,4.69387944273573e-05,4.177036741263388e-05,1.1573246075342814e-06,25.85715913097374,146.18775329699767,2906962432
4,476,0.001,0.005,0.00021296672707191969,3.472651529767775e-08,4.1356051114567055e-05,3.0346149037420878e-06,3.8622508892480277e-05,4.254426269283242e-05,0.0,3.173177606113891e-05,0.0,2.3616528237917924e-05,1.0398811972875413e-06,4.9294040599350067e-05,6.172425263295216e-05,2.6040817214206548e-05,1.5355721903428536e-06,25.745814484078437,146.81998125705456,2906962432
5,595,0.001,0.005,0.0007062839707941748,2.942244540796976e-08,3.872918948733184e-05,2.399165615561143e-06,0.0001634973159987509,0.00016678170419187087,0.0,2.1689895880559494e-05,0.0,2.8156867076764232e-05,4.034024888304494e-06,5.7660297759520335e-05,6.338139584321263e-05,5.480975648987667e-05,1.4572821642321373e-06,26.075386467040516,144.9642943845894,2906962432
6,714,0.001,0.005,0.0008392149607143389,3.1930416579097324e-08,4.1379251619911794e-05,2.5093133805808428e-06,0.00019656187129729285,0.00019918192144441444,0.0,1.2975599126966988e-05,0.0,2.3140674497568474e-05,4.8401667044869755e-06,0.0005056101643103396,0.0005893631400318728,5.108307006940733e-05,1.4237039284212405e-05,25.370543708093464,148.9916827755702,2906962432
7,833,0.001,0.005,0.000786772764395065,3.232271272175783e-08,4.307905847016382e-05,2.5191242288942533e-06,0.00018296956491814287,0.00018591934432541686,1.205223419693688e-07,8.332654690776802e-06,0.0,2.2802973371990783e-05,4.4785293693450665e-06,0.0001650303234263057,0.00012996128924506982,1.1625975220600334e-05,3.439656189757876e-06,24.935502907959744,151.5910873725901,2906962432
8,952,0.001,0.005,0.0010917737648856861,4.416547652464855e-08,5.09961642492464e-05,3.412422864241028e-06,0.000257480801908526,0.00025917626714097364,0.0,5.944520393477336e-06,0.0,2.472302693359014e-05,6.282585970424522e-06,0.003880754700263164,0.004164813790426013,0.00016369319000199582,0.00010041669636501908,24.957655300037004,151.4565352617237,2906962432
9,1071,0.001,0.005,0.008903579159624992,3.3933782039264133e-07,0.0002208338930686103,2.5643469788996125e-05,0.002157333407615109,0.002157847404420849,0.0,7.57445664869501e-06,0.0,0.0001283441797394993,5.2386101783162705e-05,0.0015122924820475635,0.0012854088485861818,0.00021742277219475778,3.263073035452094e-05,24.602887551067397,153.64050224405486,2906962432
10,1190,0.001,0.005,0.0009725145956657817,6.149018276568356e-08,5.930823473525899e-05,4.906786390410926e-06,0.00022234550865336873,0.0002292187034799046,0.0,2.0286488729388104e-06,0.0,5.593035050700776e-05,5.458563086080099e-06,4.782274124972035e-05,6.287737300486437e-05,3.6358096327776796e-05,1.5527580487850217e-06,25.026405403972603,151.0404686163989,2906962432
11,1309,0.001,0.005,0.00012018845207797038,4.191398884076219e-08,4.5562976917064695e-05,3.4996701307285567e-06,1.4320372278109456e-05,1.9378769564104793e-05,0.0,1.859378804515737e-06,0.0,1.0545050883987517e-05,3.896053374259156e-07,4.5952673792184905e-05,4.923200855652491e-05,5.3700747282294154e-05,1.1308943109205367e-06,24.889031477971002,151.87412990921865,2906962432
