horizon,steps,rmse,relative_l2,persistence_rmse,mass_drift,operator
short,1,0.002419843273754749,0.003590506398015552,0.030443714517686103,0.0003183832514979359,6.285383910330387e-06
medium,16,0.0021621723297155565,0.0032736348350428874,0.2938987331257926,0.0003229411005223584,5.624637506369052e-07
long,80,0.013403433892461989,0.022978104650974274,0.9160465664333768,0.0003450393511836107,2.1108122578223427e-07
