epoch,global_step,learning_rate,L_total,L_K,L_multi,L_rec,L_var,L_physics,L_mass,L_operator,val_rollout,val_reconstruction,val_mass,val_operator,epoch_time,samples_per_sec,peak_gpu_memory
1,119,0.001,1.874629919869559,4.3597746688265855e-07,3.6955488843160376e-05,0.9372363655655472,0.0008283908434566997,0.0,0.5858080333172684,15.055817197365736,0.9738861015864781,0.9772583972840082,0.032036168175926874,15.85057996114095,243.9169999670121,15.49707482672883,2888410624
2,238,0.001,1.8488866596625595,1.2543440605056924e-06,9.32511617691335e-05,0.9205717859444795,0.0,0.007555330926187772,0.14995774797819278,14.810746356419154,0.972200167746771,0.9755889506567093,0.015849251563971243,15.859209587460473,245.05611273800605,15.425038607550537,2888410624
3,357,0.001,1.8465157448299347,2.3116981616093502e-06,9.22180270275998e-05,0.9156827931050902,0.0,0.014963409191843068,0.10953040204981647,14.74434838774343,0.9818651767004104,0.9859310155823118,0.1719838757561298,16.08714119139172,250.7727591280127,15.073407546911476,2888410624
4,476,0.001,1.8528403103036224,4.8040503902941645e-06,0.0001917792072090956,0.9149651209513346,0.0,0.022521712052561933,0.1400452853274093,14.734384131053137,0.9721350198700315,0.9760398671740578,0.05966098511278341,15.924149994623093,251.81383525498677,15.011089427125285,2888410624
5,595,0.001,1.8601421426843714,6.871466266590481e-06,0.0002578137392269339,0.914753262201945,0.0,0.03011312085680231,0.16314153865216272,14.730277351096824,0.9881013166336786,0.9922124879700797,0.10200548366466093,16.15892531985328,252.15093071898445,14.991021406193857,2888410624
6,714,0.001,1.8936441777244446,4.777210339790342e-06,0.0003636553924359509,0.927013836462031,0.0,0.03888442299444051,0.32023810248368634,14.913292992808831,0.9750595036007109,0.9789120202972775,0.12772362996585712,15.950398290724982,252.8095555199834,14.951966480164192,2888410624
7,833,0.001,1.8666580047556962,2.9558856372854537e-06,0.0001233368366094375,0.9109151879946391,0.0,0.044577995929961645,0.10229037753133863,14.654751221591203,1.0203372966675532,1.0232375655855452,0.04450274028682283,16.664572924659367,251.325195368001,15.040274790059007,2888410624
8,952,0.001,1.8846218421976402,4.520534203134794e-06,0.00023536813172367622,0.9156543990291616,0.0,0.05283778902325366,0.17490029106379817,14.746710567373448,1.0038680235544841,1.007366532938821,0.04217345316317819,16.42031808580671,247.2438117050042,15.288552517990052,2888410624
9,1071,0.001,1.876948855667518,5.494324951931568e-06,0.0001982914789723942,0.9087091873562525,0.0,0.05912841113048888,0.08154313121996229,14.619016520182292,0.9910931394213722,0.9946386768704369,0.19115080563794998,16.19665964217413,246.74805269099306,15.319269833240632,2888410624
10,1190,0.001,1.8979507907988533,5.817487262192641e-06,0.0002571177121286315,0.9148125266271924,0.0,0.0678056828418658,0.17322028086141303,14.721488958691793,0.986625091234843,0.9899612069129944,0.16314111011368887,16.12249161856515,246.86148226601654,15.312230832052986,2888410624
11,1309,0.001,1.9011286574066,5.487468744889604e-06,0.000260022106529928,0.9127816957140725,0.0,0.07503972960937591,0.15263802074881458,14.702669880377552,1.0078865533783323,1.0118423856440044,0.08495511338114739,16.489631098792668,246.18910444201902,15.354050734971674,2888410624
12,1428,0.001,1.8984510315789116,8.221118770490175e-06,0.00029484203101318114,0.9117042909854304,0.0,0.07444454100294405,0.10639750972469017,14.676113181139426,0.9997541121074132,1.0034535606702168,0.10054680352941865,16.338874548957463,243.69319427001756,15.511307204630732,2888410624
13,1547,0.001,1.8909098940551596,8.668327554626139e-06,0.00029938015409267294,0.9079589808428729,0.0,0.07438450202471995,0.12354744576587878,14.629805513412233,1.018264022895268,1.0234561102730888,0.0650080268249093,16.732167025974817,246.12816921400372,15.357852016984543,2888410624
14,1666,0.001,1.8982479456240537,8.658235961900178e-06,0.00034163321800180095,0.911277593317486,0.0,0.07500081980867046,0.1643414090628977,14.671481143608295,1.016153583640144,1.0191035543169293,0.1497446334876475,16.585799762180873,244.49820811400423,15.460236004009763,2888410624
15,1785,0.001,1.884523221172353,1.118429877567992e-05,0.0003116415671279861,0.9050632467976323,0.0,0.07376225417907592,0.09296937256105363,14.566512090693076,1.041500617208935,1.0442791118508294,0.1700645548956735,16.977992448352634,244.24875381198945,15.47602573608075,2888410624
16,1904,0.001,1.8946463640404756,1.4482569192041025e-05,0.0004683092376956391,0.9094117093969274,0.0,0.07487184386972397,0.1626996642698056,14.648969445405182,1.0098230356261844,1.0125733869416373,0.05059101131877729,16.490910425640287,242.99770470301155,15.555702489535298,2888410624
17,2023,0.001,1.8988398913983946,1.3510265962491594e-05,0.0005309408171029722,0.9113994522069497,0.0,0.0749656049576662,0.15633640833908602,14.680448174855066,0.9772199119840349,0.9807082613309225,0.07175989890958936,16.001947947910853,241.3471401699935,15.662087387227986,2888410624
18,2142,0.001,1.8866429694745905,9.293270858309432e-06,0.0003114478140896945,0.9059794952629735,0.0,0.07405179112455833,0.11511575649024318,14.580126711931179,1.0126537095932733,1.0149732799757094,0.09364854668577512,16.51410795393444,236.46510749997105,15.985445125346718,2888410624
19,2261,0.001,1.896121134833684,1.2105961846712503e-05,0.00041793591925558986,0.9101132126712295,0.0,0.07504673286322405,0.18248294659313702,14.644380679458537,1.011082664274034,1.0143245875835418,0.24222622545702116,16.508053970336913,242.5203917719773,15.58631821588856,2888410624
20,2380,0.001,1.8921733762852098,1.236571624373682e-05,0.0004637596363733922,0.9080273219517299,0.0,0.07517884967424884,0.2048660535503317,14.626037827749101,1.0240774336315337,1.0265470794269016,0.0625395753265669,16.721416278112503,243.83020090899663,15.50259149977401,2888410624
