horizon,steps,rmse,relative_l2,persistence_rmse,mass_drift,operator
short,1,0.0033329002973106173,0.004458376284067829,0.03339302560521497,0.0005251025286270306,1.180212964552791e-05
medium,16,0.0025051876436918974,0.0034099124992887178,0.332117670112186,0.0005583092537967281,9.596997756489145e-07
long,80,0.015123577995432748,0.023050474002957344,1.0331104066636827,0.0007758158284963833,3.225551649974376e-07
