optimizer_update_step,tau,parameter_distance,latent_distance,online_min_std,target_min_std
119,0.9960528910802331,0.07990027964115143,0.011722576804459095,0.12556561827659607,0.12331224977970123
238,0.9961062303899596,0.04966280609369278,0.008805206045508385,0.1255141794681549,0.12379468232393265
357,0.9961595696996862,0.031092103570699692,0.0053888531401753426,0.12539657950401306,0.12427045404911041
476,0.9962129090094128,0.01959693804383278,0.003727958770468831,0.1253269612789154,0.124610535800457
595,0.9962662483191393,0.012552706524729729,0.0022648803424090147,0.12505321204662323,0.12480515241622925
714,0.996319587628866,0.008422855287790298,0.0014740925980731845,0.12481073290109634,0.1248701885342598
833,0.9963729269385926,0.0062712980434298515,0.002044816967099905,0.12464821338653564,0.12483938038349152
952,0.9964262662483191,0.0056167240254580975,0.003642758121713996,0.12429415434598923,0.12472433596849442
1071,0.9964796055580457,0.007081916555762291,0.006208668928593397,0.12349804490804672,0.12450417876243591
1190,0.9965329448677723,0.04301459714770317,0.03326669707894325,0.12060485780239105,0.12358875572681427
1309,0.9965862841774988,0.034044258296489716,0.04226023703813553,0.1161087229847908,0.12149213254451752
1428,0.9966396234872255,0.025237947702407837,0.03375634178519249,0.1157417967915535,0.11980652064085007
1547,0.9966929627969521,0.024726860225200653,0.04553299397230148,0.11177893728017807,0.1180494874715805
1666,0.9967463021066786,0.018594829365611076,0.024739284068346024,0.11195947229862213,0.11608298867940903
1785,0.9967996414164052,0.017344297841191292,0.03022981807589531,0.11079202592372894,0.11483640968799591
1904,0.9968529807261318,0.5034277439117432,0.42288872599601746,0.13843166828155518,0.08623651415109634
2023,0.9969063200358583,0.3443555235862732,0.6898205876350403,0.1769881546497345,0.05295851081609726
2142,0.996959659345585,0.23886026442050934,0.6361397504806519,0.1738467812538147,0.060827720910310745
2261,0.9970129986553116,0.1667765974998474,0.5324138402938843,0.17359201610088348,0.07799950242042542
2380,0.9970663379650381,0.11719121038913727,0.4211236238479614,0.1731543242931366,0.09673253446817398
2499,0.9971196772747647,0.08287990093231201,0.3241676986217499,0.1732700914144516,0.11382106691598892
2618,0.9971730165844913,0.05901243910193443,0.24532707035541534,0.17362037301063538,0.12812086939811707
2737,0.9972263558942178,0.042298853397369385,0.18363258242607117,0.1737903356552124,0.13951265811920166
2856,0.9972796952039444,0.03054237924516201,0.13779829442501068,0.17422494292259216,0.14835098385810852
2975,0.997333034513671,0.02223258651793003,0.10398460179567337,0.17484277486801147,0.15511782467365265
3094,0.9973863738233976,0.016331229358911514,0.07770983129739761,0.17519840598106384,0.1602916568517685
3213,0.9974397131331242,0.012152857147157192,0.06190398707985878,0.1761714220046997,0.16428136825561523
3332,0.9974930524428507,0.009200444445014,0.04865381866693497,0.17687632143497467,0.1673980951309204
3451,0.9975463917525773,0.007133088540285826,0.0387265607714653,0.1774379163980484,0.16988207399845123
3570,0.9975997310623039,0.005715537816286087,0.03450917825102806,0.17871108651161194,0.17191539704799652
3689,0.9976530703720304,0.00476066255941987,0.02956230938434601,0.17944404482841492,0.17363722622394562
3808,0.9977064096817571,0.004174579866230488,0.02566542662680149,0.18038107454776764,0.17513582110404968
3927,0.9977597489914837,0.0037984568625688553,0.02144894190132618,0.180863156914711,0.1764896661043167
4046,0.9978130883012102,0.003665679134428501,0.03260801360011101,0.18466924130916595,0.177840456366539
4165,0.9978664276109368,0.005434855818748474,0.04733669012784958,0.1898515820503235,0.18026988208293915
4284,0.9979197669206634,0.005099659785628319,0.044152144342660904,0.19209598004817963,0.18262642621994019
4403,0.9979731062303899,0.004795867949724197,0.03670959919691086,0.19251789152622223,0.18467479944229126
4522,0.9980264455401165,0.019356483593583107,0.12341219931840897,0.21504107117652893,0.1886562556028366
4641,0.9980797848498432,0.01592414267361164,0.0923319011926651,0.21458971500396729,0.19484959542751312
4760,0.9981331241595697,0.012995840981602669,0.06737329810857773,0.21359671652317047,0.19913198053836823
4879,0.9981864634692963,0.010558404959738255,0.04935305193066597,0.21292908489704132,0.20212474465370178
4998,0.9982398027790229,0.008697021752595901,0.03587362542748451,0.2121531367301941,0.20424731075763702
5117,0.9982931420887494,0.007289243396371603,0.025239676237106323,0.21140335500240326,0.20572905242443085
5236,0.998346481398476,0.006244577933102846,0.016815543174743652,0.21067975461483002,0.20673470199108124
5355,0.9983998207082025,0.005482024047523737,0.009507616981863976,0.20976294577121735,0.2073812633752823
5474,0.9984531600179292,0.004967366810888052,0.005846723448485136,0.20930752158164978,0.20775176584720612
5593,0.9985064993276558,0.004650861956179142,0.004751266445964575,0.20825403928756714,0.2079116553068161
5712,0.9985598386373823,0.00448266789317131,0.009589902125298977,0.2071494609117508,0.20791354775428772
5831,0.9986131779471089,0.004419978708028793,0.010669596493244171,0.20675085484981537,0.2077837586402893
5950,0.9986665172568355,0.00449430150911212,0.01477776374667883,0.2056097537279129,0.20754189789295197
6069,0.998719856566562,0.004573463927954435,0.018290093168616295,0.20481033623218536,0.20722506940364838
6188,0.9987731958762887,0.004854876548051834,0.019665302708745003,0.204227477312088,0.20686259865760803
6307,0.9988265351860153,0.0051038991659879684,0.02233904041349888,0.2036249041557312,0.20644114911556244
6426,0.9988798744957418,0.013974389992654324,0.024965573102235794,0.21130719780921936,0.2069525271654129
6545,0.9989332138054684,0.012535037472844124,0.010325096547603607,0.20893286168575287,0.20748020708560944
6664,0.998986553115195,0.01136096753180027,0.006552380509674549,0.20653599500656128,0.20762032270431519
6783,0.9990398924249215,0.010599344037473202,0.007182691711932421,0.20793674886226654,0.2074655145406723
6902,0.9990932317346481,0.019695697352290154,0.033588431775569916,0.21371610462665558,0.20832869410514832
7021,0.9991465710443748,0.018075501546263695,0.017223035916686058,0.21095870435237885,0.20900167524814606
7140,0.9991999103541013,0.01677168533205986,0.009417934343218803,0.2078116536140442,0.20922523736953735
7259,0.9992532496638279,0.016217784956097603,0.01677338220179081,0.20526017248630524,0.2091202437877655
7378,0.9993065889735545,0.01700517348945141,0.02334936521947384,0.20418083667755127,0.20887915790081024
7497,0.999359928283281,0.019442638382315636,0.02447577193379402,0.20316682755947113,0.2086639404296875
7616,0.9994132675930076,0.03007669746875763,0.0425819456577301,0.20411138236522675,0.20858407020568848
7735,0.9994666069027341,0.03627469018101692,0.015323829837143421,0.20590108633041382,0.208580881357193
7854,0.9995199462124608,0.03639417141675949,0.021118221804499626,0.20419083535671234,0.20857779681682587
7973,0.9995732855221874,0.03513243794441223,0.03469455987215042,0.20101553201675415,0.20842748880386353
8092,0.9996266248319139,0.03415296971797943,0.04616032913327217,0.19858255982398987,0.20814116299152374
