epoch,global_step,optimizer_update_step,L_total,L_v0_5,L_K,L_generator,L_multi,L_rec,L_forecast,L_var,L_stability,L_mass,L_operator,L_JEPA_one,L_JEPA_multi,val_rollout,val_jepa,tau,epoch_time,samples_per_sec,peak_gpu_memory
11,1309,1309,0.0010942692778020278,0.0010230263111658305,2.225580441435095e-07,9.218612496393718e-05,1.8288219750199156e-05,0.00021514015669704084,0.0002295548319178307,0.0,3.442765418415483e-07,1.753358954749909e-05,5.550337441334743e-06,3.369968683598147e-05,3.754327343615904e-05,4.316371738414524e-05,1.2013671199015552e-05,0.9965862841774988,29.346385819022544,128.80632127278093,2970682880
12,1428,1428,0.00027761768042134543,0.00025197954205660614,1.775290086929061e-07,6.911593934606697e-05,1.4966033214241853e-05,3.253444281259488e-05,4.1571459893482765e-05,0.0,1.4079408871010415e-07,2.1759843256736603e-05,8.807725019097528e-07,1.1114156811908331e-05,1.452398273373046e-05,5.44361283703308e-05,2.5923644803004294e-05,0.9966396234872255,31.304447092930786,120.7496171000447,2971379200
13,1547,1547,0.0009098517185227364,0.0008318051993945446,1.9447057033171139e-07,7.924448336732066e-05,1.636267110823023e-05,0.00017108869795159624,0.00018358771994441412,0.0,2.7955778773525527e-07,4.6923702203703074e-05,4.376853954699837e-06,3.734272346966906e-05,4.070379991341806e-05,8.735355693802592e-05,1.7443702801669826e-05,0.9966929627969521,29.68519617395941,127.33619740454704,2970682880
14,1666,1666,0.007019956011039318,0.006490187297658946,4.1750844610502945e-07,0.00020464477184716434,3.3270007031480045e-05,0.001522583063204019,0.0015694087632394658,0.0,1.2445366496511822e-06,0.0001338676407882573,3.8516578045601296e-05,0.0002629972506761391,0.0002667715456193527,0.007402858138084412,0.0022872653695577313,0.9967463021066786,30.89805141405668,122.33781183626151,2971379200
15,1785,1785,0.006196053716075045,0.005628586008931663,4.179450439086775e-07,0.00020359507329187912,3.3661663966812685e-05,0.0013048140638270453,0.0013475128283596224,0.0,1.5584568447055445e-06,0.00022926627221369936,3.293448813515867e-05,0.00028252041541058345,0.0002849472887690007,1.6480731704047814e-05,1.6815701270561912e-05,0.9967996414164052,28.899420400033705,130.79847096156956,2970682880
16,1904,1904,0.0001544288682342364,0.0001452410198032373,1.700246755154651e-07,6.670363107418996e-05,1.4317130782209071e-05,8.178029678020196e-06,1.6597739840295934e-05,0.0,1.6255870680353798e-07,5.604660962775135e-07,2.6607549004616675e-07,3.051707896639725e-06,6.1361393082257735e-06,1.467087099410405e-05,8.752533042189454e-06,0.9968529807261318,31.103896918008104,121.52818053520194,2971379200
17,2023,2023,0.0001482043496151972,0.00013988594162381358,1.68206192559713e-07,6.645206191389767e-05,1.4178702217120512e-05,6.985513503196965e-06,1.5428505384844602e-05,0.0,1.5688411248106003e-07,8.651399685063144e-08,2.361985987172086e-07,2.6145117762478538e-06,5.703894987799151e-06,1.6055336874116965e-05,8.651442801367791e-06,0.9969063200358583,29.082580248941667,129.97471227256585,2970682880
18,2142,2142,0.00014986862139295906,0.00014151825260669092,1.6824898041316146e-07,6.634353558568619e-05,1.4187762264564828e-05,7.442393500299196e-06,1.5831285372047524e-05,0.0,1.3724699173840307e-07,1.0195859630583086e-07,2.4734643236317626e-07,2.619800629415617e-06,5.730568175619867e-06,2.9545383620730023e-05,9.801981482160912e-06,0.996959659345585,31.2831493569538,120.83182408742232,2971379200
19,2261,2261,0.0001512026770373624,0.00014284188712413654,1.6847877203169913e-07,6.648601551272872e-05,1.4190845092618099e-05,7.676847108375532e-06,1.6182674957832282e-05,0.0,1.196730269289676e-07,1.1822555242656924e-07,2.552325167685421e-07,2.6011589951363573e-06,5.759631384385992e-06,2.175088723431275e-05,8.937541936878309e-06,0.9970129986553116,31.62636029801797,119.52055071720957,2970682880
20,2380,2380,0.00015739100994776304,0.00014869914277427135,1.6933387627355244e-07,6.674101442855009e-05,1.4262679915720591e-05,9.023124130662017e-06,1.755376960361554e-05,0.0,1.3005768202130745e-07,1.934115651372984e-07,2.8979370592614026e-07,2.7696278906390676e-06,5.922240109097277e-06,1.5827566901515683e-05,8.765165925762543e-06,0.9970663379650381,30.225858267047442,125.05848358724678,2971379200
