optimizer_update_step,tau,parameter_distance,latent_distance,online_min_std,target_min_std
119,0.9960528910802331,0.06452382355928421,0.0030428629834204912,0.1004728227853775,0.10013078898191452
238,0.9961062303899596,0.040443576872348785,0.002377724274992943,0.09981357306241989,0.09955301880836487
357,0.9961595696996862,0.02551197074353695,0.002242800546810031,0.09978669881820679,0.09948402643203735
476,0.9962129090094128,0.016225017607212067,0.002245952608063817,0.09982708096504211,0.09954266250133514
595,0.9962662483191393,0.010446546599268913,0.0026085067074745893,0.09997189044952393,0.09964121878147125
714,0.996319587628866,0.006916406564414501,0.0017955719958990812,0.09996090084314346,0.09975238144397736
833,0.9963729269385926,0.004845990799367428,0.0018966080388054252,0.10009153187274933,0.09986642003059387
952,0.9964262662483191,0.003840021090582013,0.0037291464395821095,0.10016647726297379,0.09998034685850143
1071,0.9964796055580457,0.014474938623607159,0.018308069556951523,0.10216014832258224,0.10009808093309402
1190,0.9965329448677723,0.023021036759018898,0.016141977161169052,0.09794282168149948,0.09998541325330734
1309,0.9965862841774988,0.02091091126203537,0.001326517784036696,0.09989000856876373,0.0997408926486969
1428,0.9966396234872255,0.015345931053161621,0.0038639032281935215,0.09977050125598907,0.09965410828590393
1547,0.9966929627969521,0.015697266906499863,0.002682348480448127,0.0998750701546669,0.09964679181575775
1666,0.9967463021066786,0.03523224964737892,0.039850931614637375,0.10308097302913666,0.09952845424413681
1785,0.9967996414164052,0.05240672454237938,0.0029767148662358522,0.09897177666425705,0.09866942465305328
1904,0.9968529807261318,0.036059990525245667,0.0023150788620114326,0.09850171208381653,0.0982736200094223
2023,0.9969063200358583,0.02515159733593464,0.002226372016593814,0.09837622195482254,0.09813752770423889
2142,0.996959659345585,0.017931828275322914,0.0015806120354682207,0.09825145453214645,0.09811811149120331
2261,0.9970129986553116,0.013281072489917278,0.0023533215280622244,0.09843762964010239,0.09815329313278198
2380,0.9970663379650381,0.010495109483599663,0.0025565081741660833,0.09850119054317474,0.09821414947509766
2499,0.9971196772747647,0.009612280875444412,0.005758162587881088,0.09862212091684341,0.09828510880470276
2618,0.9971730165844913,0.013396832160651684,0.009254086762666702,0.09749498963356018,0.0983581468462944
2737,0.9972263558942178,0.01705998182296753,0.009944740682840347,0.09800126403570175,0.09843556582927704
2856,0.9972796952039444,0.01603107340633869,0.011490590870380402,0.09793056547641754,0.09849553555250168
2975,0.997333034513671,0.025674428790807724,0.005593914072960615,0.0979868620634079,0.09851356595754623
3094,0.9973863738233976,0.020527111366391182,0.003194161457940936,0.09865416586399078,0.0984935611486435
3213,0.9974397131331242,0.022950096055865288,0.009866108186542988,0.0992494523525238,0.09852027893066406
3332,0.9974930524428507,0.02410030923783779,0.013117529451847076,0.100045345723629,0.09850112348794937
3451,0.9975463917525773,0.07084889709949493,0.015931086614727974,0.09644768387079239,0.09837668389081955
3570,0.9975997310623039,0.05366842448711395,0.003540843026712537,0.09836827218532562,0.09822706133127213
3689,0.9976530703720304,0.041289906948804855,0.002735201269388199,0.09838119149208069,0.09813304990530014
3808,0.9977064096817571,0.03250640258193016,0.0030870195478200912,0.09839283674955368,0.09810896962881088
3927,0.9977597489914837,0.026447610929608345,0.002994733629748225,0.09844040125608444,0.09812217950820923
4046,0.9978130883012102,0.022542594000697136,0.0017483874689787626,0.09833583235740662,0.09815673530101776
4165,0.9978664276109368,0.02040533721446991,0.021052151918411255,0.0984976589679718,0.09820432215929031
4284,0.9979197669206634,0.030830804258584976,0.02795996330678463,0.10106603056192398,0.09825348109006882
4403,0.9979731062303899,0.03412173315882683,0.014890880323946476,0.09957504272460938,0.09825558960437775
4522,0.9980264455401165,0.02990224026143551,0.0020486724097281694,0.0984743982553482,0.09826253354549408
4641,0.9980797848498432,0.027286378666758537,0.00324776628986001,0.09865260869264603,0.09828665107488632
4760,0.9981331241595697,0.14024825394153595,0.19659404456615448,0.0919715091586113,0.09834359586238861
4879,0.9981864634692963,0.17213067412376404,0.0026316442526876926,0.09837811440229416,0.09811966866254807
4998,0.9982398027790229,0.13890045881271362,0.002649398986250162,0.09829045087099075,0.09797296673059464
5117,0.9982931420887494,0.11282680183649063,0.0025898648891597986,0.09822434931993484,0.09791922569274902
5236,0.998346481398476,0.09225963056087494,0.0024716893676668406,0.09817513823509216,0.09791998565196991
5355,0.9983998207082025,0.07594825327396393,0.002364050131291151,0.0981859415769577,0.09794808179140091
5474,0.9984531600179292,0.06293780356645584,0.0027967498172074556,0.09830178320407867,0.09798940271139145
5593,0.9985064993276558,0.05251419171690941,0.002372227143496275,0.0982741042971611,0.09803493320941925
5712,0.9985598386373823,0.04411600902676582,0.00273428438231349,0.09836550801992416,0.09808148443698883
5831,0.9986131779471089,0.037340037524700165,0.0026080848183482885,0.09840843081474304,0.09812717139720917
5950,0.9986665172568355,0.03185093030333519,0.0024812668561935425,0.09844275563955307,0.09817149490118027
6069,0.998719856566562,0.02739126980304718,0.0026777705643326044,0.0985153391957283,0.09821277111768723
6188,0.9987731958762887,0.023795487359166145,0.003324676537886262,0.09862962365150452,0.09825322031974792
6307,0.9988265351860153,0.0208708755671978,0.0025381757877767086,0.09856096655130386,0.09829140454530716
6426,0.9988798744957418,0.0186033695936203,0.0018431005300953984,0.09847193211317062,0.09832760691642761
6545,0.9989332138054684,0.016870245337486267,0.002236316679045558,0.0985950157046318,0.09836225211620331
6664,0.998986553115195,0.015639018267393112,0.0027354394551366568,0.09866935014724731,0.098395437002182
6783,0.9990398924249215,0.01480786595493555,0.002297822618857026,0.09865663200616837,0.09842611104249954
6902,0.9990932317346481,0.01922188699245453,0.00429348461329937,0.09893003106117249,0.09845592826604843
7021,0.9991465710443748,0.02131269872188568,0.0029240010771900415,0.0987643375992775,0.09848518669605255
