horizon,steps,rmse,relative_l2,persistence_rmse,mass_drift,operator
short,1,0.5152522325515747,0.9996585249900818,0.03192739561200142,0.00017485569696873426,0.2654847800731659
medium,4,0.5115320086479187,0.9996824860572815,0.08392365276813507,0.00017485604621469975,0.06637119501829147
long,10,0.5039893388748169,0.9997420907020569,0.18800710141658783,0.00017485661373939365,0.02654847875237465
