epoch,global_step,learning_rate,generator_learning_rate,L_total,L_K,L_generator,L_multi,L_rec,L_forecast,L_var,L_stability,L_physics,L_mass,L_operator,val_rollout,val_reconstruction,val_mass,val_operator,epoch_time,samples_per_sec,peak_gpu_memory
21,2499,0.001,0.005,0.0001537840455683027,1.5279245121987107e-07,6.034585868874466e-05,1.2835133245625045e-05,1.2042487793781908e-05,2.0832060062078263e-05,0.0,1.4098505149406033e-05,4.561807318361061e-07,1.8913192209443425e-06,3.8958443823618823e-07,2.052817416413399e-05,1.2655805360173829e-05,1.4775616990835347e-06,3.8983523568601545e-07,24.500572697026655,154.28210788145103,2906962432
22,2618,0.001,0.005,0.00015103539848323203,1.5856032568292725e-07,6.035738390569807e-05,1.3306205219893455e-05,1.1172316602602781e-05,2.0018267145296607e-05,0.0,1.0892123268772761e-05,4.366642407382291e-07,1.821206820201792e-06,3.6211438348935324e-07,1.896989942040472e-05,1.247981457535865e-05,1.5052513654317019e-06,3.6959115975930345e-07,24.823410768061876,152.27560931567862,2906962432
23,2737,0.001,0.005,0.00015941871254379668,1.6552485688229565e-07,6.071249629486668e-05,1.3894805133098825e-05,1.282719724605115e-05,2.1792829251372645e-05,0.0,8.526809189654025e-06,6.583469867205914e-07,2.893566041860347e-06,3.9816889174260953e-07,1.4553988832977622e-05,1.7550746365270155e-05,1.6414517360663878e-06,4.6984618858827855e-07,24.7058796499623,153.00001673916387,2906962432
24,2856,0.001,0.005,0.0001575231324990955,1.724491059026607e-07,6.101806646535695e-05,1.4471452926011774e-05,1.1985820874157725e-05,2.10212676749083e-05,0.0,6.5940115279565804e-06,7.161328828558947e-07,3.2050821342665357e-06,3.755822800129377e-07,2.3662559241139595e-05,1.1721474722781706e-05,4.14214470543768e-06,3.6851104791172217e-07,24.69284821895417,153.08076113708427,2906962432
25,2975,0.001,0.005,0.00016078685683496396,1.81146486063823e-07,6.160548074009567e-05,1.5205120272911646e-05,1.224657004135821e-05,2.1426634112016972e-05,0.0,5.397556303669551e-06,7.038244216611024e-07,3.139469274857513e-06,3.796528334479989e-07,2.2725094060574305e-05,8.889550471871017e-06,1.3349466939871491e-06,3.0727385689845376e-07,24.57508544297889,153.8143177068769,2906962432
26,3094,0.001,0.005,0.00015934607111534754,1.8937541257239673e-07,6.198206503454241e-05,1.591517256678171e-05,1.1412549112103762e-05,2.0749178091897174e-05,0.0,4.542939016588091e-06,5.665374442046823e-07,2.4743836504404454e-06,3.5830357058296577e-07,2.3275295271083625e-05,1.1268324843036853e-05,3.1795336548427822e-06,3.548319292739117e-07,24.56298283301294,153.89010470339275,2906962432
27,3213,0.001,0.005,0.00044216721197935164,2.1356673914490942e-07,7.03098001414368e-05,1.7813807127784157e-05,7.797839022555669e-05,8.753336338996493e-05,0.0,3.7514742322696653e-06,4.617579305015469e-06,2.1065113135654232e-05,2.022783389423109e-06,0.0007406789997947358,0.001006209475010456,0.00013074133527143637,2.4148302847087116e-05,25.0212326629553,151.0716938257165,2906962432
28,3332,0.001,0.005,0.002051194007021853,3.499678852614322e-07,0.00012002690458391848,2.895909540629921e-05,0.00044567971867402934,0.00045328386856006487,0.0,3.831553163359381e-06,7.458859596296607e-05,0.0003620549342611017,1.0888045553728593e-05,3.82346749011915e-05,8.414397541942197e-06,5.565061410163166e-06,3.465959087818538e-07,27.903787284973077,135.46548220841797,2906962432
29,3451,0.001,0.005,0.00018779207191925258,2.8486701311252277e-07,6.952787781498892e-05,2.3981928055435814e-05,1.2025398301717052e-05,2.26507867304097e-05,0.0,3.6427504315850062e-06,2.9882631322055076e-07,1.1131684147354492e-06,3.8096315136730455e-07,2.878029232046434e-05,6.283075665470235e-06,5.669515672934721e-07,2.7489788592339165e-07,28.98221355502028,130.42482047908416,2906962432
30,3570,0.001,0.005,0.00018920898519113915,2.958162444246174e-07,7.009697026602688e-05,2.487923908918953e-05,1.1755475598013536e-05,2.252032264699684e-05,0.0,3.0892790212337835e-06,1.9719552080349158e-07,6.118304479357942e-07,3.741471560816636e-07,1.649766062265761e-05,2.017558884593503e-05,1.2281004347734042e-06,5.411171550966693e-07,24.856502742972225,152.07288165543457,2906962432
31,3689,0.001,0.005,0.00025015420436849277,3.1530431352734323e-07,7.37951783261326e-05,2.6462945123769776e-05,2.5272519739157465e-05,3.591289449817003e-05,0.0,2.2873680059790055e-06,5.182673848255021e-07,1.8760709783463133e-06,7.152659457811973e-07,5.292852933745876e-05,0.00011583969434945002,2.834428057884084e-06,2.6975929986725704e-06,24.31034050998278,155.48938931759446,2906962432
32,3808,0.001,0.005,0.00034257754216601374,3.521126016508672e-07,8.469567931055155e-05,2.942865795428771e-05,4.399948230413775e-05,5.457559240909254e-05,0.0,1.9146176838009126e-06,1.3308217684685327e-06,5.46993489921781e-06,1.1841739431248536e-06,1.5179898521940535e-05,2.408845523729854e-05,1.889479889206043e-06,6.14518281898719e-07,26.769917677040212,141.2032732264245,2906962432
33,3927,0.001,0.005,0.0008480123950725313,4.180091077951484e-07,0.00011282143105750303,3.4970650695776814e-05,0.00016092214263485475,0.0001694930588884129,0.0,1.4309565033597339e-06,3.85816099988944e-06,1.522308880568128e-05,4.067716193765918e-06,1.4723577641277751e-05,2.9122757197390977e-05,1.3050812499603211e-06,7.308904915113262e-07,25.11265311797615,150.5217303102952,2906962432
34,4046,0.001,0.005,0.00032102436100738864,3.865955061272e-07,7.897322885347185e-05,3.242371406741243e-05,3.860438861665513e-05,4.935331255192597e-05,0.0,1.010087632575912e-06,8.006974186803855e-07,2.956760616542991e-06,1.046726476858937e-06,0.0003130920813418925,0.00047380094211326823,2.2949446169410035e-05,1.1673846815288665e-05,24.70801645796746,152.9867849339676,2906962432
35,4165,0.001,0.005,0.020434301552176723,2.1190541592924098e-06,0.0009064890147388848,0.00016907066387517337,0.004687221307128393,0.00473259132222136,0.0,2.3953216391793565e-05,0.0003455315439691731,0.0016109274388630486,0.00011673028098281671,9.475938568357379e-05,0.00012081988291659703,7.85639660015087e-05,2.9399104386400375e-06,24.541772442986257,154.02310524968942,2906962432
