epoch,global_step,learning_rate,generator_learning_rate,L_total,L_K,L_generator,L_multi,L_rec,L_forecast,L_var,L_stability,L_physics,L_mass,L_operator,val_rollout,val_reconstruction,val_mass,val_operator,epoch_time,samples_per_sec,peak_gpu_memory
1,119,0.001,0.005,1.666264822771625,6.542389829160274e-05,0.038237142887982176,0.005505174388436085,0.40429137815282773,0.40406826055909273,0.002296676729062311,2.93825997552496e-05,0.0,0.057307982602447426,0.009879256117221697,0.033290774938428684,0.03321129867718333,0.03819426142034076,0.0007960922205321757,27.535340474918485,137.27812820920605,2906962432
2,238,0.001,0.005,0.0155396388623452,4.185752595625908e-07,0.0002611782055095001,3.494683538837495e-05,0.0037639326094197007,0.0037922918989178947,0.0,1.7748389542808444e-05,9.392482325120243e-05,0.004606433185705177,8.980797685494291e-05,5.391264829605851e-05,5.014851521991659e-05,1.6750860742745102e-05,1.3718227954822872e-06,26.685774035053328,141.64850511867292,2907331072
3,357,0.001,0.005,0.00018584033390864354,2.4685187304716016e-08,3.8551973730569616e-05,2.1169749028217063e-06,3.447467114369227e-05,3.613436500056494e-05,4.438792260501672e-09,1.2944977979281075e-05,5.16712085721304e-07,1.1995447601765153e-05,9.223545412674462e-07,7.159115553977678e-05,4.334940853628463e-05,9.504857802139236e-06,1.2109108570798742e-06,26.983147277962416,140.0874390619062,2906962432
4,476,0.001,0.005,0.0005080957101194789,2.1099332918335783e-08,3.627944032713357e-05,1.7151111080392468e-06,0.00011588128920516403,0.00011735586167704905,0.0,1.1673877694799255e-05,7.232577287747213e-07,9.167671135126886e-06,2.886624344451804e-06,0.0009302364634571686,0.000775592707075356,2.1179543947861625e-05,1.9614038899904005e-05,25.12432235397864,150.4518190279232,2906962432
5,595,0.001,0.005,0.000534651076135339,2.4513422884274886e-08,3.930337069692859e-05,1.957714618136321e-06,0.00012073694908404451,0.0001239474025809344,3.6518418642959593e-09,9.200206276396765e-06,1.1186665370111034e-06,1.0955929562523986e-05,3.0274021501148047e-06,0.00017635607703899345,0.0002390175093924405,3.4161142788694375e-05,5.731499476539847e-06,25.2963905549841,149.42843295306545,2906962432
6,714,0.001,0.005,0.0014674087995281393,5.3581652601015925e-08,5.6910536420733606e-05,4.12414115835514e-06,0.0003491904321308346,0.0003500116634303975,0.0,7.940097260409004e-06,2.998212648120388e-06,2.137535748381447e-05,8.60676899738941e-06,0.0001656473632205494,0.00013702522289046708,1.3694079708990276e-05,3.388142158114317e-06,25.478263591998257,148.36175889110248,2906962432
7,833,0.001,0.005,0.007402474207575088,2.448813780860732e-07,0.0001686092461534793,1.868498953342924e-05,0.0018063577762669415,0.0017793918451557316,0.0,9.319235384460414e-06,2.381890002843214e-05,0.00015479854129191837,4.3692292278349494e-05,0.00014414881048391441,8.247953207631196e-05,1.0864379305530747e-05,2.0968943707495262e-06,25.697550193057396,147.09573370232107,2906962432
8,952,0.001,0.005,0.00013672198067608946,3.083587286605435e-08,4.3613962378234616e-05,2.551567315826317e-06,1.9970385073975196e-05,2.3505306523027625e-05,0.0,3.351390830690559e-06,6.87524845830012e-07,4.367377681215879e-06,5.435140747127786e-07,2.3906073017444993e-05,2.8620641976539488e-05,1.216226372499867e-05,7.692261284492339e-07,25.149408832076006,150.30174368070715,2906962432
9,1071,0.001,0.005,0.000112772074387293,3.5243513034480185e-08,4.466466901167271e-05,2.929645154561888e-06,1.3097229599687068e-05,1.7265799619457943e-05,0.0,3.0951010416097545e-06,1.1773032202250359e-06,6.992691952753318e-06,3.6545317365315505e-07,1.9664204037759365e-05,1.6847018559928984e-05,9.465560342342931e-06,4.7243171717950426e-07,24.977927102008834,151.33361485773557,2906962432
10,1190,0.001,0.005,0.00010284298723538914,4.167987578401432e-08,4.635158833547461e-05,3.4705771401012687e-06,9.718952350864782e-06,1.4474713672402132e-05,0.0,2.855670550281752e-06,8.356659835049826e-07,4.36025230223932e-06,2.8233649501058253e-07,2.1898363238073042e-05,1.9029457758907006e-05,9.51237207551631e-06,5.183256999565683e-07,24.52262379298918,154.14337519138843,2906962432
11,1309,0.001,0.005,0.0001321041526607972,5.053419769225271e-08,4.8897384547951224e-05,4.220065199309608e-06,1.578314124979818e-05,2.1027087438149407e-05,0.0,2.744390185494758e-06,8.212075164809273e-07,3.6740510146412015e-06,4.3198656776343506e-07,3.380057567569782e-05,7.615854303280468e-06,4.7794498150838515e-06,2.993422426589816e-07,25.673229199950583,147.23508174839478,2906962432
12,1428,0.001,0.005,0.00011188577479934171,5.922516628419707e-08,4.9992176108481115e-05,4.945061506491608e-06,9.862909079312992e-06,1.572288744716422e-05,0.0,2.4755425841696765e-06,5.25103435455806e-07,2.3380243587948993e-06,2.874928184841309e-07,2.831605450496898e-05,6.434161412124966e-05,3.3047212322604277e-06,1.5219623362229738e-06,24.78548107203096,152.50863959487637,2906962432
13,1547,0.001,0.005,0.002143322192157111,1.2636693595722035e-07,8.317795825417513e-05,1.0125612841095842e-05,0.0005057183179863305,0.0005096570618830069,0.0,2.427418297807293e-06,8.773157990198964e-06,3.130441438395157e-05,1.2561375567043248e-05,0.0010107200914284303,0.000789478845849988,0.00021892078200922005,2.0134049858218835e-05,25.746053125010803,146.81862037828037,2906962432
14,1666,0.001,0.005,0.0010750487038407417,1.091322032352379e-07,6.571854814263702e-05,9.025215974731879e-06,0.00023846903780217174,0.0002479007242477059,0.0,2.022091400499569e-06,1.822885650060218e-05,8.517759618746549e-05,5.9666863155454185e-06,2.3679389925659745e-05,2.5369674421242615e-05,8.184149590392951e-06,6.486676533140347e-07,26.183264984982088,144.36702230100377,2906962432
15,1785,0.001,0.005,0.0005827553362694012,1.1974831890949558e-07,6.516212372666117e-05,9.935329673305479e-06,0.00012018964877858741,0.00012750525686430384,0.0,1.7225585839629209e-06,2.0407347021857815e-06,7.173446975064017e-06,3.030226535864891e-06,0.00033270755028795627,0.00039273158292330447,5.0372941075779856e-05,9.737578732581044e-06,25.91428587306291,145.86548973472551,2906962432
16,1904,0.001,0.005,0.002824981166012881,2.170730795716168e-07,0.00011357442989715045,1.721537713021183e-05,0.0006636936541076345,0.0006678473456607511,0.0,1.721816098834867e-06,1.3504746937773207e-05,5.112558930570096e-05,1.639814538316507e-05,0.0005926354394649111,0.0004488757772681614,1.637589588469945e-05,1.1066542997252241e-05,26.50282456201967,142.6263072886576,2906962432
17,2023,0.001,0.005,0.0005959404726690125,1.4782442328562447e-07,6.929821741770923e-05,1.2171667622554451e-05,0.00012040412106668877,0.0001288987157056995,0.0,1.422134556515442e-06,3.4032100577778742e-06,1.3975791567145038e-05,3.0402587217443315e-06,9.409414169134661e-05,0.00014214196188342093,4.983337028837317e-06,3.3497500031184505e-06,25.3873522070935,148.8930381224958,2906962432
18,2142,0.001,0.005,0.016797614603170325,9.967654317199685e-07,0.0005593477327021814,7.747226450071798e-05,0.00394538729594806,0.004036498522658823,0.0,4.40178252313638e-06,0.00011811378908008265,0.000491661354030045,9.890759137036824e-05,0.001597528943342955,0.0015200486894519556,0.0013306581126969485,3.7795572405316525e-05,25.63137703598477,147.4754943791404,2906962432
19,2261,0.001,0.005,0.000980481780771654,1.974364071400718e-07,8.221486322803511e-05,1.6450089514792944e-05,0.00020004548838697562,0.0002120233920722197,0.0,1.0503187387524112e-06,4.092649653648431e-05,0.00019970532708845544,4.927155593966062e-06,3.02780101524799e-05,4.534243939382404e-06,5.665881268495945e-07,2.4772956223950175e-07,25.327401427086443,149.24547276916735,2906962432
20,2380,0.001,0.005,0.00013722907255955594,1.6572492918246902e-07,5.9137668799536266e-05,1.3942427049475973e-05,8.0171803505985e-06,1.6896673272996425e-05,0.0,7.039858998468459e-07,1.4271832360728702e-07,4.5108642147381767e-07,2.625051965626173e-07,1.950426648406955e-05,1.011567956517129e-05,2.0786805399503853e-07,3.245555522620894e-07,24.723175656050444,152.89297995481942,2906962432
21,2499,0.001,0.005,0.00013826855383788743,1.761665089662245e-07,5.9653248788207456e-05,1.4814660579080708e-05,7.62877283820657e-06,1.6683562824726795e-05,0.0,6.510935360806581e-07,1.2003624334962326e-07,3.4663058774866546e-07,2.535506289994508e-07,1.843435786126758e-05,1.961034786723931e-05,3.2682849580721397e-06,5.249213191269692e-07,24.886458279914223,151.8898333175366,2906962432
22,2618,0.001,0.005,0.0001450964701780803,1.8779776560318915e-07,6.040997749931184e-05,1.57851564071034e-05,8.561857506835607e-06,1.776950021084058e-05,0.0,6.420701863866482e-07,2.014602295794344e-07,7.298644641617068e-07,2.7743668373546517e-07,2.194554169927003e-05,8.846628904956603e-06,2.1302065141255644e-07,3.092136523719091e-07,24.956738741020672,151.46209764126445,2906962432
23,2737,0.001,0.005,0.00014755963751302155,1.9936655837562033e-07,6.122460438520032e-05,1.675938855870208e-05,8.370166284852308e-06,1.7859961391117414e-05,0.0,5.891845074666702e-07,9.771644642939835e-08,2.1323078293015122e-07,2.753514492168405e-07,2.2602803905361464e-05,1.1994102411942246e-05,7.022932645587128e-08,3.707287029491064e-07,24.510864808922634,154.2173248258452,2906962432
24,2856,0.001,0.005,0.00015893024558733616,2.1322153931804385e-07,6.208342024822418e-05,1.7906632289788118e-05,1.0258698145022478e-05,2.0033267923589506e-05,0.0,6.080976563512026e-07,1.7559777453158026e-07,5.549022414389323e-07,3.23086631218969e-07,3.3661510644292105e-05,2.7696784365530003e-05,4.455078001661778e-07,7.747297615878779e-07,24.30029576807283,155.55366223016875,2906962432
25,2975,0.001,0.005,0.000188052278257187,2.2732473226708877e-07,6.406231647512564e-05,1.9085244140889564e-05,1.642059438747416e-05,2.62512895032251e-05,0.0,5.499575733602994e-07,1.9338507275064833e-07,4.89665707485834e-07,4.772596562674076e-07,2.0436875829112806e-05,7.186873637173058e-05,1.5572198397724908e-06,1.621696536143905e-06,25.003944484051317,151.1761475238861,2906962432
26,3094,0.001,0.005,0.0004784684304872321,2.542048355761927e-07,7.358153499096198e-05,2.1241645469946513e-05,8.549262961351482e-05,9.495407697392342e-05,0.0,5.351502648014628e-07,1.2024715720890625e-06,3.828681227036762e-06,2.183676633408549e-06,0.00035470389217759173,0.00048573077767200413,7.827106132719478e-06,1.1606567412465146e-05,25.59719583299011,147.6724257087673,2906962432
