epoch,global_step,learning_rate,generator_learning_rate,L_total,L_K,L_generator,L_multi,L_rec,L_forecast,L_var,L_stability,L_physics,L_mass,L_operator,val_rollout,val_reconstruction,val_mass,val_operator,epoch_time,samples_per_sec,peak_gpu_memory
11,1309,0.001,0.005,0.002920749280527825,6.379085291319781e-08,6.438927414978574e-05,5.0124675985585855e-06,0.0007093332473203422,0.0007137524129123126,0.0,9.994525917631843e-07,0.0,4.4893044124513856e-05,1.784675812082939e-05,0.001652286886902792,0.0014574684247019745,0.00010328092165374463,3.7569843386466214e-05,24.339172225096263,155.3051995787441,2906962432
12,1428,0.001,0.005,0.0008143311655090348,4.283300793556716e-08,5.075221473932274e-05,3.5142553409218274e-06,0.0001857967458101157,0.00019240352944675747,1.6706731941436404e-10,1.0703661433898747e-06,0.0,2.6875011170256475e-05,4.73620651403522e-06,7.158128823253459e-05,0.00011108477767612342,1.4075169262165825e-05,2.6924159566901617e-06,23.95778897998389,157.7774978800461,2906962432
13,1547,0.001,0.005,0.007828691601260472,2.190124437117962e-07,0.00014979938574017656,1.686384063745324e-05,0.0019055247198261824,0.0019168273263386693,0.0,2.4150057715228807e-06,0.0,0.00021139151145622168,4.79888475080082e-05,0.0006902781697655363,0.0009165531052054748,6.26462305912615e-05,2.189248577581436e-05,24.25449298194144,155.84741362412234,2906962432
14,1666,0.001,0.005,0.00035990035568983617,5.656379782760182e-08,5.2366955553042264e-05,4.736478775003605e-06,7.20112501242766e-05,7.685633210241105e-05,0.0,2.6871334565113156e-06,0.0,2.2727656759194342e-05,1.8586696847000774e-06,1.0033830654893314e-05,2.0171501386184466e-05,2.796277721288442e-06,5.144746458946819e-07,24.282674761954695,155.66654155918528,2906962432
15,1785,0.001,0.005,0.00010084413716054605,5.5005213182365155e-08,4.850191403107678e-05,4.645738591587543e-06,7.877356603554319e-06,1.353903913772825e-05,0.0,1.629496968975959e-06,0.0,2.140921476444977e-06,2.4324135306258577e-07,1.0158410146860183e-05,1.6877465029773747e-05,2.686931485197333e-06,4.3045521811975396e-07,25.293428561999463,149.4459318053475,2906962432
16,1904,0.001,0.005,0.00010334581170426978,6.287624304058654e-08,4.936023542926051e-05,5.3272108493609015e-06,7.769790229917457e-06,1.3805081987080273e-05,0.0,1.185346160950541e-06,0.0,1.5838635036628162e-06,2.434675364849595e-07,1.3594919073511846e-05,1.6986372143687082e-05,4.459485927825534e-06,4.556915779998928e-07,24.749646278913133,152.72945550016146,2906962432
17,2023,0.001,0.005,0.00012482452293625102,7.217431780127805e-08,5.0952379230197974e-05,6.096564887292318e-06,1.2154602177721996e-05,1.8604337214292077e-05,0.0,8.89609737347951e-07,0.0,1.8192590920638173e-06,3.583111541867871e-07,3.252086653013802e-05,3.576814028963868e-05,2.0802755264932265e-05,9.189464500585537e-07,24.475424950011075,154.44062800626838,2906962432
18,2142,0.001,0.005,0.0005134148417267377,8.922411409541921e-08,5.607140215009663e-05,7.487723212367325e-06,0.00010708187713005048,0.00011401914444933127,0.0,7.672371564709349e-07,0.0,9.664765146890348e-06,2.7540207946956454e-06,0.00026800231079548775,0.00021466415914584927,4.201833353796419e-05,5.751276235276323e-06,25.436197125934996,148.6071200535663,2906962432
19,2261,0.001,0.005,0.0026633098176384847,1.549699263964059e-07,9.13472845765427e-05,1.252425674330745e-05,0.0006326292634839389,0.0006406981359721314,0.0,1.0426445945868892e-06,0.0,4.977828569487895e-05,1.613885896303044e-05,0.00023547583121052455,0.00023139382718086597,6.853139819300157e-05,5.961590995000387e-06,26.33135358407162,143.55509632009955,2906962432
20,2380,0.001,0.005,0.0010346546989037759,1.1543965171621153e-07,6.899493599400447e-05,9.569307380289988e-06,0.0002324359963904258,0.00024070809638403632,0.0,1.1751214288170274e-06,0.0,4.904246971438634e-05,5.933898503985441e-06,0.0006383342837493512,0.0004614283766603053,5.898681326600906e-05,1.230612114600912e-05,24.74086093204096,152.78368890973653,2906962432
