epoch,global_step,optimizer_update_step,L_total,L_v0_5,L_K,L_generator,L_multi,L_rec,L_forecast,L_var,L_stability,L_mass,L_operator,L_JEPA_one,L_JEPA_multi,val_rollout,val_jepa,tau,epoch_time,samples_per_sec,peak_gpu_memory
1,119,119,0.02240482477809083,0.02072355081632927,5.492671568640737e-07,0.0002787436612480734,4.309929688889213e-05,0.005027161186272298,0.005151649843726234,0.0,4.369467526659175e-06,0.0004341591887243349,0.0001245660506578778,0.0008491256356263774,0.0008321481805617782,1.9744037620382317e-05,9.33069089417889e-06,0.9960528910802331,30.161817457992584,125.32401289360423,2950142464
2,238,238,0.00013904568556605016,0.00013146504588707267,1.450379584720053e-07,6.410238451925574e-05,1.2202538858185074e-05,6.7033364974208996e-06,1.4698826991238448e-05,0.0,9.057282319296834e-09,1.4153893355269824e-07,2.2410031142294549e-07,2.39061863597334e-06,5.190021802841257e-06,1.6951388126818487e-05,8.272285062308324e-06,0.9961062303899596,30.299063406069763,124.75633155191056,2971379200
3,357,357,0.00013788872525938566,0.0001308938075520995,1.446058568925615e-07,6.390808057163167e-05,1.2156846414125529e-05,6.665861763866377e-06,1.4592134566218764e-05,0.0,9.121792349625337e-09,4.031365398635677e-08,2.2277321278502625e-07,2.101829601910833e-06,4.893088266461741e-06,2.211284026998328e-05,8.451937397001616e-06,0.9961595696996862,29.688047276926227,127.32396862416223,2970682880
4,476,476,0.00013798884097326587,0.00013108968413829132,1.449707557009677e-07,6.377289240142557e-05,1.219325144476474e-05,6.698051133536778e-06,1.4686565917039477e-05,0.0,8.445643111467448e-09,3.050785768067048e-08,2.234604585463251e-07,2.0408489146296345e-06,4.858308029580503e-06,1.4511170714589147e-05,7.94727544806457e-06,0.9962129090094128,30.41899017302785,124.26448013227211,2971379200
5,595,595,0.00013759570004093268,0.0001307174655647022,1.4531177015291775e-07,6.380322137995371e-05,1.2218643381924335e-05,6.597014656844771e-06,1.4558467736360543e-05,0.0,7.732327980276836e-09,2.8238911863079993e-08,2.2061016395690828e-07,2.033271541809429e-06,4.844962943082912e-06,1.9222843539388296e-05,8.109744407019684e-06,0.9962662483191393,30.54833216802217,123.73834287283557,2970682880
6,714,714,0.00014135080545822837,0.00013434934638016833,1.4617119502093245e-07,6.39301001370845e-05,1.2278975834195359e-05,7.429973380500019e-06,1.5411375369738034e-05,0.0,1.0021839700291198e-08,7.249938355760115e-08,2.417456393551994e-07,2.0948875313508095e-06,4.9065717653007676e-06,2.8622435378825424e-05,8.939932862025064e-06,0.996319587628866,29.820544294896536,126.75824970260204,2971379200
7,833,833,0.00014361432481251618,0.00013645451697465475,1.4667959210785418e-07,6.393157602466455e-05,1.2307875631786711e-05,7.87449834249509e-06,1.5976036496958746e-05,0.0,6.430882531019334e-09,2.3671586460306485e-07,2.532603016286057e-07,2.159243240866181e-06,5.000563223369508e-06,1.2064068522747784e-05,8.934468072159992e-06,0.9963729269385926,29.779932492994703,126.93111379245705,2970682880
8,952,952,0.0001508951624615177,0.00014340745686447474,1.4748622150017625e-07,6.416593823044821e-05,1.2375323972529264e-05,9.599503931577413e-06,1.750943801963576e-05,0.0,6.922908613778699e-09,5.961391722124703e-07,2.9535064740947163e-07,2.3498957477179363e-06,5.13780964216234e-06,9.529641708165097e-05,1.8019809149769744e-05,0.9964262662483191,30.52299608103931,123.84105380625174,2971379200
9,1071,1071,0.00034800660916574534,0.0003344841704891117,1.5664798018216065e-07,6.933913208687771e-05,1.3062109451672609e-05,5.473384713195388e-05,6.413937958386092e-05,0.0,2.2396131430538188e-08,5.524846116795695e-06,1.4468958827112349e-06,5.217603017901263e-06,8.304835342093452e-06,0.0003224402279426743,3.89550242679044e-05,0.9964796055580457,30.312935404013842,124.69923976743858,2970682880
10,1190,1190,0.0014936484483923152,0.001433164185706388,1.914735496749022e-07,8.970285353445443e-05,1.569723888813449e-05,0.00031677024423116423,0.0003328294977551898,0.0,1.7028513535088118e-07,6.235312314775049e-05,7.973924692113922e-06,2.8059737302081737e-05,3.242452403355856e-05,0.00021249430307458775,8.793468429454758e-05,0.9965329448677723,30.05842128698714,125.75510749250273,2971379200
11,1309,1309,0.0004755677634704779,0.0004528654091892932,1.59738039635625e-07,7.119123574787327e-05,1.3287469274863334e-05,8.271104618740667e-05,9.291543867519106e-05,0.0,6.778400271379153e-08,1.626058483260167e-05,2.138147711082725e-06,9.805161066916303e-06,1.2897193004459108e-05,0.00012656231826570417,3.00824552617823e-05,0.9965862841774988,30.300336224026978,124.75109094672713,2970682880
12,1428,1428,0.0007227790341145856,0.0006951599105300688,1.7342359956514476e-07,7.839489761473877e-05,1.4445035453213171e-05,0.0001414006168680899,0.00015114973405149407,0.0,4.69236924261517e-08,9.400943583396457e-06,3.579652088269035e-06,1.2126781564889132e-05,1.5492342988311845e-05,0.000955734498399709,0.00015568489574694207,0.9966396234872255,31.039545114035718,121.78013518280358,2971379200
13,1547,1547,0.003810129366401169,0.0036315364072040195,2.9453293879871326e-07,0.00014559892231426645,2.3413111151457227e-05,0.0008353709401538172,0.0008715835093180576,0.0,6.959977266932622e-07,0.00010305445533641245,2.113657339395051e-05,8.656814501995945e-05,9.202484323097413e-05,0.0004958875491172962,0.000138603969840222,0.9966929627969521,29.917168543906882,126.34885532206752,2970682880
14,1666,1666,0.00062939321239437,0.0005901159173898305,1.6278732107907888e-07,7.164942855341853e-05,1.3581661727267414e-05,0.00011223620432059443,0.00012395133527163472,0.0,1.6135380886080186e-07,9.08863504110457e-05,2.8594589270606396e-06,1.771452435345314e-05,2.1562771338019513e-05,3.820276007380536e-05,1.04631987705077e-05,0.9967463021066786,29.953713214956224,126.1947049059882,2971379200
