optimizer_update_step,tau,parameter_distance,latent_distance,online_min_std,target_min_std
119,0.9960528910802331,0.0808916762471199,0.0030556232668459415,0.12216757237911224,0.12215407937765121
238,0.9961062303899596,0.05024091899394989,0.0034040743485093117,0.12200530618429184,0.1218046173453331
357,0.9961595696996862,0.0314779169857502,0.0026253126561641693,0.12197334319353104,0.12175446003675461
476,0.9962129090094128,0.01988767832517624,0.0034332808572798967,0.12213069200515747,0.12181317806243896
595,0.9962662483191393,0.012789083644747734,0.0033325322438031435,0.12212429940700531,0.12191182374954224
714,0.996319587628866,0.008568976074457169,0.0022194930352270603,0.12221888452768326,0.12201938033103943
833,0.9963729269385926,0.006223962176591158,0.004030109383165836,0.12241194397211075,0.12213268131017685
952,0.9964262662483191,0.00544261559844017,0.002315972466021776,0.12248849123716354,0.12224365770816803
1071,0.9964796055580457,0.00974327139556408,0.006328141782432795,0.12301858514547348,0.12234267592430115
1190,0.9965329448677723,0.028786247596144676,0.00830563623458147,0.12294113636016846,0.12238328158855438
1309,0.9965862841774988,0.02280546724796295,0.007003560662269592,0.12348698079586029,0.12246804684400558
1428,0.9966396234872255,0.019700203090906143,0.016028249636292458,0.12288779020309448,0.12257388234138489
1547,0.9966929627969521,0.031327661126852036,0.007576162461191416,0.12366773933172226,0.12250830978155136
1666,0.9967463021066786,0.028531571850180626,0.002741683041676879,0.12243600934743881,0.1224462240934372
1785,0.9967996414164052,0.020672352984547615,0.004133155103772879,0.12328191846609116,0.12247639149427414
1904,0.9968529807261318,0.01571783423423767,0.004423853009939194,0.12264805287122726,0.12254219502210617
2023,0.9969063200358583,0.013249717652797699,0.015088318847119808,0.12408038228750229,0.12263186275959015
2142,0.996959659345585,0.053171202540397644,0.01192067377269268,0.12443379312753677,0.12265186011791229
2261,0.9970129986553116,0.037657592445611954,0.00742277642711997,0.12314858287572861,0.12266328185796738
2380,0.9970663379650381,0.02772350423038006,0.0028979144990444183,0.12287326157093048,0.12270018458366394
2499,0.9971196772747647,0.021528609097003937,0.004310388118028641,0.12263371795415878,0.12276734411716461
2618,0.9971730165844913,0.019030699506402016,0.006348806899040937,0.1206473857164383,0.12282049655914307
2737,0.9972263558942178,0.05805495008826256,0.005955572705715895,0.12443949282169342,0.12277447432279587
2856,0.9972796952039444,0.04234921559691429,0.004303921014070511,0.1229691430926323,0.12277030944824219
2975,0.997333034513671,0.03238741680979729,0.004106689244508743,0.12311889231204987,0.12281560152769089
3094,0.9973863738233976,0.026001064106822014,0.004191920161247253,0.12330514192581177,0.12287962436676025
3213,0.9974397131331242,0.02228880114853382,0.004260058049112558,0.12363774329423904,0.12295056134462357
3332,0.9974930524428507,0.0262600127607584,0.006205549463629723,0.12267759442329407,0.12302832305431366
3451,0.9975463917525773,0.025175996124744415,0.006597692146897316,0.12285423278808594,0.12309852987527847
3570,0.9975997310623039,0.04481830075383186,0.011448078788816929,0.12252922356128693,0.1231665387749672
3689,0.9976530703720304,0.035843558609485626,0.009385881945490837,0.1244756355881691,0.1231539398431778
3808,0.9977064096817571,0.24453680217266083,0.5993986129760742,0.06761623919010162,0.12181753665208817
3927,0.9977597489914837,0.3638160526752472,0.04403714835643768,0.07419378310441971,0.07316579669713974
4046,0.9978130883012102,0.27888160943984985,0.021798348054289818,0.06273268908262253,0.0638408437371254
4165,0.9978664276109368,0.21505822241306305,0.019649619236588478,0.059973716735839844,0.06318529695272446
4284,0.9979197669206634,0.16637128591537476,0.01976391114294529,0.06305328011512756,0.06399877369403839
4403,0.9979731062303899,0.12988092005252838,0.01729036308825016,0.06158389896154404,0.057753488421440125
4522,0.9980264455401165,0.10208910703659058,0.01492204237729311,0.055618591606616974,0.053155019879341125
4641,0.9980797848498432,0.0806066170334816,0.014148288406431675,0.05205058678984642,0.0502546951174736
4760,0.9981331241595697,0.06418851017951965,0.011388329789042473,0.04881030693650246,0.04845255985856056
4879,0.9981864634692963,0.05160022899508476,0.008040498942136765,0.048837363719940186,0.047397319227457047
4998,0.9982398027790229,0.0418214276432991,0.007580957375466824,0.047816820442676544,0.046773772686719894
5117,0.9982931420887494,0.03409705311059952,0.006562028545886278,0.047370120882987976,0.046417783945798874
5236,0.998346481398476,0.027972565963864326,0.008548990823328495,0.04731348901987076,0.046224918216466904
5355,0.9983998207082025,0.023133670911192894,0.005501576699316502,0.04673761874437332,0.04613629728555679
5474,0.9984531600179292,0.0192475114017725,0.005844013765454292,0.046920087188482285,0.046109888702631
5593,0.9985064993276558,0.016134371981024742,0.006521841045469046,0.046887148171663284,0.04612485319375992
5712,0.9985598386373823,0.013639387674629688,0.007091465871781111,0.04676689952611923,0.04616483673453331
5831,0.9986131779471089,0.01162610575556755,0.008527455851435661,0.046763963997364044,0.04621867090463638
5950,0.9986665172568355,0.009988417848944664,0.003820862155407667,0.04668337479233742,0.0462757907807827
6069,0.998719856566562,0.008683182299137115,0.006705883424729109,0.04671158641576767,0.04633774980902672
6188,0.9987731958762887,0.007691064849495888,0.012697610072791576,0.04705050215125084,0.04640485718846321
6307,0.9988265351860153,0.007549508474767208,0.007187038194388151,0.0472121499478817,0.046474285423755646
6426,0.9988798744957418,0.00726703368127346,0.010650469921529293,0.047701284289360046,0.04654540866613388
