horizon,steps,rmse,relative_l2,persistence_rmse,mass_drift,operator
short,1,0.7891130447387695,0.9996393918991089,0.04619781672954559,0.042493052780628204,0.6226993799209595
medium,4,0.7831404209136963,0.999559760093689,0.1283576637506485,0.042493052780628204,0.15567484498023987
long,10,0.7717364430427551,0.9994418025016785,0.2833757698535919,0.0424930602312088,0.06226993724703789
