horizon,steps,rmse,relative_l2,persistence_rmse,mass_drift,operator
short,1,0.5152521729469299,0.9996584057807922,0.03192739561200142,0.00017431330343242735,0.2654847502708435
medium,4,0.5115319490432739,0.9996823668479919,0.08392365276813507,0.00017431365267839283,0.06637118756771088
long,10,0.5039892792701721,0.9997420310974121,0.18800710141658783,0.0001743142056511715,0.02654847502708435
