optimizer_update_step,tau,parameter_distance,latent_distance,online_min_std,target_min_std
119,0.9960528910802331,0.08493310958147049,0.017280422151088715,0.15284577012062073,0.1546454131603241
238,0.9961062303899596,0.05290207639336586,0.010266388766467571,0.1529049426317215,0.15404565632343292
357,0.9961595696996862,0.033137038350105286,0.0063378759659826756,0.15297840535640717,0.15367132425308228
476,0.9962129090094128,0.020875785499811172,0.00399567699059844,0.153059184551239,0.1534452736377716
595,0.9962662483191393,0.013302874751389027,0.003120909444987774,0.15305326879024506,0.153312548995018
714,0.996319587628866,0.008691604249179363,0.002574488054960966,0.1530250906944275,0.15323585271835327
833,0.9963729269385926,0.00600944459438324,0.002215215004980564,0.1529819667339325,0.15318362414836884
952,0.9964262662483191,0.004610421136021614,0.002265273593366146,0.15310800075531006,0.15313652157783508
1071,0.9964796055580457,0.004334477242082357,0.001988060539588332,0.1530964970588684,0.15308326482772827
1190,0.9965329448677723,0.012568522244691849,0.002855973783880472,0.1530715376138687,0.15295539796352386
1309,0.9965862841774988,0.02834484353661537,0.011125962249934673,0.15140216052532196,0.15232445299625397
1428,0.9966396234872255,0.03233864903450012,0.030447062104940414,0.14692723751068115,0.15056708455085754
1547,0.9966929627969521,0.027352456003427505,0.04393065720796585,0.14171890914440155,0.14792102575302124
1666,0.9967463021066786,0.022904593497514725,0.04147844761610031,0.1404404640197754,0.14566496014595032
1785,0.9967996414164052,0.023642035201191902,0.04195241630077362,0.13772688806056976,0.14365586638450623
1904,0.9968529807261318,0.041168440133333206,0.030041197314858437,0.13727718591690063,0.14161112904548645
2023,0.9969063200358583,0.02934778295457363,0.024985719472169876,0.1368655413389206,0.14015737175941467
2142,0.996959659345585,0.021112505346536636,0.007782895117998123,0.13851043581962585,0.13937890529632568
2261,0.9970129986553116,0.1305902749300003,0.06692907214164734,0.12813256680965424,0.13835297524929047
2380,0.9970663379650381,0.09771299362182617,0.02454925887286663,0.13625341653823853,0.1374155879020691
2499,0.9971196772747647,0.06888832151889801,0.014889191836118698,0.1371600180864334,0.13714905083179474
2618,0.9971730165844913,0.0488433837890625,0.010706131346523762,0.1382020115852356,0.13729505240917206
2737,0.9972263558942178,0.03474051132798195,0.015139948576688766,0.1394336074590683,0.13773050904273987
2856,0.9972796952039444,0.025227835401892662,0.00929926335811615,0.13968628644943237,0.13836748898029327
2975,0.997333034513671,0.030919579789042473,0.008711286820471287,0.13603468239307404,0.13799305260181427
3094,0.9973863738233976,0.023156844079494476,0.006828054785728455,0.13663601875305176,0.13740341365337372
3213,0.9974397131331242,0.01805288903415203,0.010957465507090092,0.13798795640468597,0.13736648857593536
3332,0.9974930524428507,0.022510360926389694,0.010966365225613117,0.13801398873329163,0.1376642882823944
3451,0.9975463917525773,0.023344509303569794,0.014142470434308052,0.13891755044460297,0.13741515576839447
3570,0.9975997310623039,0.020167823880910873,0.010615997947752476,0.13886980712413788,0.1375826895236969
3689,0.9976530703720304,0.017986590042710304,0.01721966080367565,0.14031192660331726,0.13810311257839203
3808,0.9977064096817571,0.01669461466372013,0.023271415382623672,0.1421799659729004,0.13884615898132324
3927,0.9977597489914837,0.05110304802656174,0.024130716919898987,0.14175601303577423,0.1395695060491562
