epoch,global_step,optimizer_update_step,L_total,L_v0_5,L_K,L_generator,L_multi,L_rec,L_forecast,L_var,L_stability,L_mass,L_operator,L_JEPA_one,L_JEPA_multi,val_rollout,val_jepa,tau,epoch_time,samples_per_sec,peak_gpu_memory
1,119,119,0.027035558526735278,0.027035558526735278,4.630496920389493e-07,0.00023177318616367373,3.602225561980814e-05,0.006607181198979132,0.006758413916284832,0.0,8.79149029336446e-07,0.0007037996427628314,0.000161440807904087,0.0,0.0,1.8744961215859456e-05,0.0,0.9960528910802331,24.59988805197645,153.65923584746966,2868835328
2,238,238,0.00011708469974109903,0.00011708469974109903,1.1129387735489593e-07,5.3712448236722224e-05,9.374663123809216e-06,7.236223895974776e-06,1.5008996923002303e-05,0.0,1.117752750960838e-07,2.66434309646419e-07,2.3418133994989036e-07,0.0,0.0,1.530616145395297e-05,0.0,0.9961062303899596,24.479923038044944,154.41225015803337,2890137088
3,357,357,0.00011274550737142957,0.00011274550737142957,1.1078803417661667e-07,5.342373247172132e-05,9.338456875026822e-06,6.3317379456185295e-06,1.3925890863189971e-05,0.0,6.457888613329875e-08,1.0021706325613787e-07,2.0871470007150684e-07,0.0,0.0,1.609708434400437e-05,0.0,0.9961595696996862,24.456667174003087,154.5590808880966,2889244160
4,476,476,0.00011191013983325175,0.00011191013983325175,1.1047411472674636e-07,5.336565431515395e-05,9.307588942449973e-06,6.135440513129912e-06,1.3764105909214498e-05,0.0,4.737513327760764e-08,4.655569321847249e-08,2.0349460507914624e-07,0.0,0.0,1.4336232977387095e-05,0.0,0.9962129090094128,24.749138729996048,152.73258763621644,2890137088
5,595,595,0.00011203476504537292,0.00011203476504537292,1.1039118009591976e-07,5.329923331075368e-05,9.303584082142041e-06,6.2217200696756315e-06,1.3775984795453648e-05,0.0,3.410608906171797e-08,3.4337761971850795e-08,2.050639874363138e-07,0.0,0.0,1.6820112848238622e-05,0.0,0.9962662483191393,23.99028784094844,157.5637618464923,2889244160
6,714,714,0.00011309189907498115,0.00011309189907498115,1.1039366860455465e-07,5.3198279910868716e-05,9.300916052967613e-06,6.4953027970866525e-06,1.4080478626604576e-05,0.0,2.9361197579056526e-08,5.687867371310829e-08,2.120641290375523e-07,0.0,0.0,1.7825079530233605e-05,0.0,0.996319587628866,24.33088130003307,155.35812095696107,2890137088
7,833,833,0.00011412219212004896,0.00011412219212004896,1.1015073820118911e-07,5.321198550518602e-05,9.288976763287484e-06,6.755501341878563e-06,1.4336654713448808e-05,0.0,2.848680427303012e-08,7.231976648952734e-08,2.1886501401912115e-07,0.0,0.0,1.8902974677205617e-05,0.0,0.9963729269385926,24.328688582987525,155.37212320779446,2889244160
8,952,952,0.00011884362289617972,0.00011884362289617972,1.1048181209259513e-07,5.328342449117117e-05,9.300036175070557e-06,7.908106804929307e-06,1.5481080906943014e-05,0.0,2.659483655896438e-08,2.447500929281372e-07,2.453196516916053e-07,0.0,0.0,1.1085744439956865e-05,0.0,0.9964262662483191,24.331984256976284,155.35107864933894,2890137088
9,1071,1071,0.0001245590933076865,0.0001245590933076865,1.1030204482556165e-07,5.3321181698862424e-05,9.285673055543426e-06,9.274482080298993e-06,1.6954734538947896e-05,0.0,2.5581216847577495e-08,3.158074920275029e-07,2.7964430851098437e-07,0.0,0.0,2.7314368760146733e-05,0.0,0.9964796055580457,24.47306260303594,154.45553592181315,2889244160
10,1190,1190,0.0003285853731785975,0.0003285853731785975,1.164828547259021e-07,5.691960880073359e-05,9.729078922805096e-06,5.850443915940117e-05,6.709051738547349e-05,0.0,2.9129607663186984e-08,3.5082533736506116e-06,1.482297326008116e-06,0.0,0.0,0.00021887972834520042,0.0,0.9965329448677723,24.70904330094345,152.9804272047907,2890137088
11,1309,1309,0.0010353947509198435,0.0010353947509198435,1.2451078436406438e-07,6.424885540914219e-05,1.0365476747793046e-05,0.00022966508601457078,0.000241480046352273,0.0,4.5541281230318195e-08,3.434178310964767e-05,5.636256455593784e-06,0.0,0.0,0.00022112299435927222,0.0,0.9965862841774988,24.662314592977054,153.27028555042472,2889244160
12,1428,1428,0.0013123719229870452,0.0013123719229870452,1.274542034814408e-07,7.068224204457783e-05,1.0539267771939252e-05,0.00029601729385648416,0.00030890015833493737,0.0,8.443962030275538e-08,4.588069837371309e-05,7.321024012136539e-06,0.0,0.0,0.0012778856392417636,0.0,0.9966396234872255,24.44060697092209,154.66064343235044,2890137088
13,1547,1547,0.0009821757682686593,0.0009821757682686593,1.1251551945055104e-07,6.462777813862044e-05,9.360798237991282e-06,0.0002172792095859737,0.00022867135611363064,0.0,4.212023965969276e-08,2.8670782723334953e-05,5.3718958074617066e-06,0.0,0.0,0.00011954758353697669,0.0,0.9966929627969521,24.032350549008697,157.28798530512114,2889244160
14,1666,1666,0.0012084211702501678,0.0012084211702501678,1.1724615662824506e-07,6.816640713993736e-05,9.495274264221609e-06,0.0002714879127947993,0.00028650145095381296,0.0,4.6776930125759875e-08,1.8999639189767923e-05,6.81814727654431e-06,0.0,0.0,7.747782677012895e-05,0.0,0.9967463021066786,24.331164343981072,155.35631367904836,2890137088
15,1785,1785,0.0016608120857555637,0.0016608120857555637,1.2188844626055148e-07,7.453682665265333e-05,9.94871834384785e-06,0.0003801782163680487,0.0003986936916902701,0.0,3.2810378066313225e-08,3.317218241848485e-05,9.372042097705946e-06,0.0,0.0,0.0004938546160008714,0.0,0.9967996414164052,24.45519264100585,154.56840007311132,2889244160
16,1904,1904,0.0018211976466109118,0.0018211976466109118,1.0516603194543206e-07,6.533883846637167e-05,8.654456760461145e-06,0.00041207700469866816,0.0004304501705726137,0.0,4.3948867985113243e-07,0.00025674330937608685,9.988820347680014e-06,0.0,0.0,7.94354952328528e-05,0.0,0.9968529807261318,24.289007504004985,155.6259554605811,2890137088
17,2023,2023,0.00018845038049947963,0.00018845038049947963,7.792735726361667e-08,5.0435544292826854e-05,6.555186674059196e-06,2.707877160395987e-05,3.4251191094948873e-05,0.0,7.491015481459123e-08,1.0084728510011902e-05,7.10872110349079e-07,0.0,0.0,0.0001535561659173774,0.0,0.9969063200358583,24.661727000027895,153.2739373846659,2889244160
18,2142,2142,0.00030413980040792867,0.00030413980040792867,8.254980779836255e-08,5.282820039182389e-05,6.931156470576146e-06,5.4631174635018895e-05,6.339419211991496e-05,0.0,3.095283639012813e-08,5.173937240224934e-06,1.3906031509823008e-06,0.0,0.0,4.8098054148362104e-05,0.0,0.996959659345585,24.95007264299784,151.5025649057918,2890137088
19,2261,2261,0.005928055019605727,0.005928055019605727,3.7105095374940106e-07,0.00022016904343328582,2.8421815222442745e-05,0.0013846033804208562,0.0014284983915141315,0.0,9.449341472276086e-08,8.816930310680253e-05,3.412232778188169e-05,0.0,0.0,0.0025586792317751263,0.0,0.9970129986553116,25.144390726927668,150.3317396333615,2889244160
20,2380,2380,0.0015721882427839325,0.0015721882427839325,1.2604922743482574e-07,8.194895402532041e-05,1.0228414147503725e-05,0.0003552515592875554,0.0003748148339890235,0.0,2.386583028777244e-07,3.872877558014277e-05,8.7700299110669e-06,0.0,0.0,1.3631489275125898e-05,0.0,0.9970663379650381,24.20901314308867,156.14019364019953,2890137088
21,2499,2499,0.00010044234458334921,0.00010044234458334921,7.75487967710808e-08,4.991188677854432e-05,6.52583706974241e-06,6.041087407004578e-06,1.261118742587752e-05,0.0,4.1000802384503374e-08,2.6821547420688356e-07,1.947071890102716e-07,0.0,0.0,1.3966452561795623e-05,0.0,0.9971196772747647,24.296047455980442,155.58086173681545,2889244160
22,2618,2618,0.00010471058274599571,0.00010471058274599571,7.966977154420039e-08,5.018176475820679e-05,6.710919842108432e-06,6.898260963444719e-06,1.3504439522404466e-05,0.0,3.064578693998371e-08,8.790100417824697e-07,2.1520742527014042e-07,0.0,0.0,4.5979487809485624e-05,0.0,0.9971730165844913,24.38447129400447,155.0166888764739,2890137088
23,2737,2737,0.00013767183564600865,0.00013767183564600865,8.326311770333247e-08,5.08619539523448e-05,6.969393598891748e-06,1.4511044208688272e-05,2.1528915241351424e-05,0.0,3.043597839796058e-08,3.121825540180123e-06,4.025188316641034e-07,0.0,0.0,1.3971848108797401e-05,0.0,0.9972263558942178,23.971628907020204,157.68640565318483,2889244160
24,2856,2856,0.00015971170758049955,0.00015971170758049955,8.533539391498414e-08,5.1281775259191085e-05,7.174114676509003e-06,1.9692580970215164e-05,2.711340427003239e-05,0.0,1.932762961475207e-08,1.3796960843739158e-06,5.326286587400578e-07,0.0,0.0,0.0005083613496805941,0.0,0.9972796952039444,24.423545654048212,154.76868320196022,2890137088
25,2975,2975,0.0034985926123606978,0.0034985926123606978,1.8191764335822294e-07,0.00010636168521756267,1.4208054863191801e-05,0.0008208726794730253,0.0008491868128422303,0.0,1.418248566213118e-07,9.743028184515731e-05,2.0068369234116015e-05,0.0,0.0,0.0001310564651032023,0.0,0.997333034513671,24.533933003083803,154.07232095746213,2889244160
26,3094,3094,0.00023447190531191944,0.00023447190531191944,8.296993464995389e-08,5.2440855783754075e-05,6.952083639536612e-06,3.7827892258122566e-05,4.5263132164898454e-05,0.0,2.987751292000837e-08,8.316823913754547e-06,9.77555973897791e-07,0.0,0.0,2.543164047806169e-05,0.0,0.9973863738233976,24.983754780958407,151.29831497069293,2890137088
27,3213,3213,0.00011355324205449689,0.00011355324205449689,8.159183837488089e-08,5.047022109104705e-05,6.876991549221905e-06,8.829010847774852e-06,1.5699189720584803e-05,0.0,1.4059074138588107e-08,6.837471859688579e-07,2.6444337644986584e-07,0.0,0.0,2.3437790098666613e-05,0.0,0.9974397131331242,24.89389546099119,151.84445543781092,2889244160
