epoch,global_step,learning_rate,generator_learning_rate,L_total,L_K,L_generator,L_multi,L_rec,L_forecast,L_var,L_stability,L_physics,L_mass,L_operator,val_rollout,val_reconstruction,val_mass,val_operator,epoch_time,samples_per_sec,peak_gpu_memory
1,119,0.001,0.005,1.1532701700137407,8.875047010387933e-05,0.05034269340870355,0.007385524219582159,0.27203086963090944,0.2719302496542691,0.0011336191589156029,0.00032086637536219326,0.0,0.05700855663529149,0.006550617660020069,0.048479443451478366,0.04793846058614907,0.06678063164720134,0.00112343897982057,27.22289571200963,138.85370755515984,2906962432
2,238,0.001,0.005,0.018505526362627586,7.129422009237565e-07,0.00043916108318303943,6.183696861539612e-05,0.0044418840796598014,0.004483446377207416,0.0,0.0001349914734616442,7.781825835629314e-05,0.003786474279603147,0.00010443863821150944,3.584556526177385e-05,3.7652822131695714e-05,2.335854528826617e-05,1.0252419434393578e-06,26.432432350004092,143.0061354152833,2907331072
3,357,0.001,0.005,0.00025273571622424893,1.0064713738835334e-07,8.057289493591131e-05,8.990536671852303e-06,3.491398443493477e-05,3.88412371172481e-05,1.55189015444309e-08,5.4938315600064394e-05,1.0752743802130823e-06,2.5912055809298875e-05,9.698036960281766e-07,5.1505587006907996e-05,4.525943686963902e-05,4.174615563074656e-05,1.107865880710181e-06,25.872620740905404,146.10039075104999,2906962432
4,476,0.001,0.005,0.00021019856648448184,3.4739909836536184e-08,4.144589169223167e-05,3.036961870700079e-06,3.757764396949723e-05,4.14137020511565e-05,0.0,3.188608775970775e-05,1.4727110345387383e-06,2.353004979172342e-05,1.0151341172555505e-06,3.871872353816538e-05,4.840797947032288e-05,2.4574459902872887e-05,1.2105554354829586e-06,25.973162722075358,145.53483687942503,2906962432
5,595,0.001,0.005,0.0005485097658247613,2.6854491642054545e-08,3.7319935046268196e-05,2.208146942052134e-06,0.00012384050918934575,0.00012722868959056942,0.0,2.1728243724696793e-05,2.435463581292502e-06,2.7362810409391944e-05,3.0804843567643223e-06,6.128672061354987e-05,5.26024421560578e-05,4.860462908947652e-05,1.2456191121773806e-06,25.78968728694599,146.5702145955577,2906962432
6,714,0.001,0.005,0.001045238398380144,3.88609633070265e-08,4.549353024996226e-05,3.0165900055195265e-06,0.00024584009832266483,0.0002488470996333355,0.0,1.337824444062164e-05,2.960602640221758e-06,2.3561326307817437e-05,6.044700094400141e-06,0.0006644735035176079,0.0007599991962446698,5.30760646879138e-05,1.843148493207991e-05,25.451583862071857,148.51727972941538,2906962432
7,833,0.001,0.005,0.0008848151739652234,3.125468705385263e-08,4.2649750365560293e-05,2.4317556749121563e-06,0.00020585878559378366,0.00021068854694791808,1.1448287368116397e-07,8.381388125170907e-06,3.3264127821259157e-06,2.2660255063018422e-05,5.059851454697545e-06,0.000456254532106132,0.00041724266415084935,1.6855669382818764e-05,1.067780183889443e-05,24.890646524960175,151.86427545019535,2906962432
8,952,0.001,0.005,0.0011606569613808048,4.326384026387526e-08,5.042890439249782e-05,3.357098116144438e-06,0.00027404801056796696,0.00027529781760657747,0.0,5.917987760363354e-06,4.187138204273381e-06,2.3235645224943895e-05,6.6724848055802615e-06,0.0025035213640270133,0.0026816022596211127,0.00013960412254077493,6.523730915519298e-05,24.860494693974033,152.04846269274918,2906962432
9,1071,0.001,0.005,0.0018818175986534842,8.218438507277392e-08,7.260815226891763e-05,6.317660117375939e-06,0.0004456233752924683,0.00044896094991287176,0.0,4.6587005353964825e-06,6.857415253434931e-06,3.201431890081265e-05,1.0844526433155656e-05,8.369262241536663e-05,9.318473575625657e-05,6.622401020389848e-05,2.233968630857167e-06,24.720889154006727,152.9071214409512,2906962432
10,1190,0.001,0.005,0.000442173032745443,3.569387797206314e-08,4.578922368526316e-05,2.89495133676042e-06,9.467918006179697e-05,9.870203666169709e-05,0.0,2.8569699409109447e-06,3.5100789641330185e-06,1.7159651820076673e-05,2.3407868695512035e-06,0.0002254213146876455,0.0003145630582280102,4.1047502946596414e-05,7.337169734542147e-06,24.94148977799341,151.55469996564528,2906962432
11,1309,0.001,0.005,0.0010909247049500073,5.924258225809233e-08,5.795814890122514e-05,4.722541241251208e-06,0.00025243789857504743,0.00025692289284302323,0.0,2.3046666363505347e-06,4.510174331511417e-06,1.637970162557885e-05,6.171170031978233e-06,0.0012656838433550937,0.001080536778040585,2.41401747432844e-05,2.73889768972627e-05,24.77320774900727,152.58419653593205,2906962432
12,1428,0.001,0.005,0.005588614630063863,2.4966095956399663e-07,0.00016548044041936192,1.897369958714027e-05,0.0013386338703514807,0.0013442740321109163,0.0,2.434485517063896e-06,1.88779141575574e-05,6.152784582963533e-05,3.286172495815167e-05,5.415358491951511e-05,0.00010577744507740828,6.141208263259267e-06,2.4264461899292654e-06,24.82597532996442,152.2598790081621,2906962432
13,1547,0.001,0.005,0.00021094865989181453,5.945872892972922e-08,4.9390508602348666e-05,4.970121824078012e-06,3.477603869604146e-05,4.0128081247780875e-05,0.0,1.1581621311292612e-06,1.6343930493016999e-06,7.285277901265694e-06,8.866873452428047e-07,3.957694134442136e-05,2.0085899476336114e-05,2.185347319547353e-05,5.394631998678094e-07,24.395008187973872,154.94973278440813,2906962432
14,1666,0.001,0.005,0.00013838702064868625,6.834610895529289e-08,5.032100063217705e-05,5.744408555127121e-06,1.5840154055069588e-05,2.1775455710157216e-05,0.0,1.070082323898744e-06,1.1706296414491523e-06,5.42333922490201e-06,4.298089823437511e-07,1.6546132281378265e-05,1.959493766619181e-05,5.61882767171829e-06,4.863311000051562e-07,24.76838999299798,152.6138760358911,2906962432
15,1785,0.001,0.005,0.0004967650163317563,8.696938773518634e-08,5.561774110738139e-05,7.239331107629123e-06,0.00010219282969104363,0.00010900414974130592,0.0,9.403861606077323e-07,4.093648302740702e-06,1.794421907453354e-05,2.5240224391699674e-06,0.0010211068649022353,0.0007821461507340982,0.00013254171517473878,2.0116094431917494e-05,24.887468777014874,151.8836661883054,2906962432
16,1904,0.001,0.005,0.002940898330447328,2.3106906388151733e-07,0.00013553273406590548,1.8179635681104465e-05,0.0006792011792265204,0.0006976763296825565,0.0,1.1804027423006873e-06,1.4902169922265183e-05,5.7288792700404806e-05,1.7222056910921107e-05,4.8650892650974646e-05,5.7072201854593694e-05,1.1617657147715883e-05,1.4245807267884846e-06,24.16072216106113,156.45227716297632,2906962432
