epoch,global_step,learning_rate,L_total,L_K,L_multi,L_rec,L_var,L_physics,L_mass,L_operator,val_rollout,val_reconstruction,val_mass,val_operator,epoch_time,samples_per_sec,peak_gpu_memory
1,119,0.001,1.874629919869559,4.3597746688265855e-07,3.6955488843160376e-05,0.9372363655655472,0.0008283908434566997,0.0,0.5858080333172684,15.055817197365736,0.9738861015864781,0.9772583972840082,0.032036168175926874,15.85057996114095,28.002423141966574,134.98831800505874,2888410624
2,238,0.001,1.8412118571145193,1.2503819513172765e-06,9.249049964069547e-05,0.9205128129197176,0.0,0.0,0.14845287512652772,14.809829774483172,0.9723638035002209,0.9757440090179443,0.017156386961938726,15.860944711594355,27.2817197139957,138.55431547670491,2888410624
3,357,0.001,1.8317575437051279,2.3220734662750844e-06,9.304592760080205e-05,0.9157845608141056,0.0,0.0,0.11087306464317614,14.746205068517614,0.9812706260454087,0.9853313809349423,0.18343224676888592,16.077055177234467,26.79016494494863,141.09655568629603,2888410624
4,476,0.001,1.8305020140592383,4.980206704107495e-06,0.0002003008868236085,0.9150482173949953,0.0,0.0,0.14288122039386836,14.735855259971013,0.9720067580540975,0.9759190928368341,0.06983832154267779,15.924091466267903,26.95820829301374,140.21703367354695,2888410624
5,595,0.001,1.8307566032207832,7.15949027437245e-06,0.00027240250030502916,0.9151023177242784,0.0,0.0,0.17476995029146708,14.73706784929548,0.988368306841169,0.9924778410366604,0.12886435356700704,16.159960519699823,26.486822265957016,142.71247649282407,2888410624
6,714,0.001,1.8629423224736774,4.948064284213788e-06,0.0003925095625356007,0.9310761815025693,0.0,0.0,0.38264627757841946,14.966682226191121,0.9669891845612298,0.9709384974979219,0.1320371498212418,15.833868312835694,26.143317131034564,144.58761988978003,2888410624
7,833,0.001,1.8272791738863345,2.2229899634362603e-06,0.00012564369201384208,0.9135128314532931,0.0,0.0,0.14003420791455679,14.702563973078652,1.0035506941023327,1.0071298480033875,0.03155660031230322,16.401801363627115,26.415396803000476,143.0983614666215,2888410624
8,952,0.001,1.8333747164912955,3.5663282148932383e-06,0.00020941285286825545,0.9164761644191843,0.0,0.0,0.19308734072973488,14.762249751822658,0.9958007596787952,0.9994919964245388,0.0528763458398836,16.3121178490775,25.993181531026494,145.4227523278765,2888410624
9,1071,0.001,1.8199032786031248,4.4109563291794745e-06,0.00019832125108993351,0.9097511101021338,0.0,0.0,0.10641064479276932,14.635580226353236,0.9870962778727214,0.9907956412860326,0.10640523896685668,16.130216144380114,26.31473088200437,143.6457783645812,2888410624
10,1190,0.001,1.8322942753948233,4.7049729699417655e-06,0.000245184812975971,0.9158995987246277,0.0,0.0,0.1750194544396388,14.737160088271692,0.9810193924676804,0.9845519627843584,0.0807380236108743,16.026524443853468,25.8765902830055,146.07797853809674,2888410624
11,1309,0.001,1.8278946646937617,5.103087253234455e-06,0.0002694067869842959,0.91367537697787,0.0,0.0,0.16898015408367706,14.71890878828745,1.008892049675896,1.012489372775668,0.10052914328961855,16.476334408351352,26.412162585009355,143.1158841247403,2888410624
12,1428,0.001,1.8249789656785431,6.80860434046721e-06,0.0002756140063635059,0.912210465739013,0.0,0.0,0.10381121111925316,14.681967556665814,0.9957673898765019,0.9994952017352694,0.1149110406459797,16.270774023873464,25.785862196004018,146.59195691295437,2888410624
13,1547,0.001,1.8203538392586682,6.059168422734488e-06,0.0002557047661862006,0.9099181856427874,0.0,0.0,0.1144655331259682,14.661836408181165,1.0049677423068455,1.009937762646448,0.09589077995291778,16.491402062915622,25.927123156026937,145.79326743088012,2888410624
14,1666,0.001,1.82734269717383,6.208933148377462e-06,0.0002968720914968462,0.9133713713398686,0.0,0.0,0.16035412611075178,14.705345624086087,1.035146807488941,1.0376256499971663,0.1598849504476502,16.875834964570544,26.18576335196849,144.35324833544874,2888410624
15,1785,0.001,1.8173762311380377,5.260780206241642e-06,0.00022147825448502783,0.9084640081597384,0.0,0.0,0.07126790491282625,14.623212739651796,1.0421928814479282,1.0439496097110568,0.0666021495458803,16.95053123292469,25.669815843983088,147.25465982982573,2888410624
16,1904,0.001,1.827234041375458,6.110428248142679e-06,0.0002943830817775239,0.9133195821570341,0.0,0.0,0.16432263075359285,14.710096523749135,1.0418201310294015,1.0436805645624796,0.1439216333175344,16.97217863173712,25.932924947992433,145.76065012260116,2888410624
