horizon,steps,rmse,relative_l2,persistence_rmse,mass_drift,operator
short,1,0.5152521729469299,0.9996584057807922,0.03192739561200142,0.00016384109039790928,0.2654847502708435
medium,4,0.5115319490432739,0.9996823668479919,0.08392365276813507,0.00016384143964387476,0.06637118756771088
long,10,0.5039893388748169,0.9997420907020569,0.18800710141658783,0.00016384199261665344,0.02654847502708435
