epoch,global_step,optimizer_update_step,L_total,L_v0_5,L_K,L_generator,L_multi,L_rec,L_forecast,L_var,L_stability,L_mass,L_operator,L_JEPA_one,L_JEPA_multi,val_rollout,val_jepa,tau,epoch_time,samples_per_sec,peak_gpu_memory
1,119,119,0.028100929197130933,0.028100929197130933,9.989157132004135e-07,0.0004962018336752731,7.959909570379067e-05,0.006792721583003797,0.006929119590824398,0.0,8.480372789845975e-06,0.0005723138004263303,0.00016979897795177778,0.0,0.0,2.1185428990325557e-05,0.0,0.9960528910802331,26.318233700003475,143.62665986963634,2868793856
2,238,238,0.0001546482930068301,0.0001546482930068301,2.1908288409148645e-07,6.206720453322368e-05,1.846538543566894e-05,9.022371881338397e-06,1.86260219644287e-05,0.0,1.2142814563847703e-06,3.5315755761836026e-07,2.977864127503366e-07,0.0,0.0,1.907392998830238e-05,0.0,0.9961062303899596,26.782815846032463,141.1352720240564,2889244160
3,357,357,0.0001499082996151484,0.0001499082996151484,2.175185293843377e-07,6.173901446148255e-05,1.8332754695269393e-05,7.959471055728115e-06,1.7632252020698544e-05,0.0,8.751643723111816e-07,1.1180896622051848e-07,2.705618543834577e-07,0.0,0.0,1.7782711126658668e-05,0.0,0.9961595696996862,25.97355732205324,145.53262585985996,2889244160
4,476,476,0.00014874012156041025,0.00014874012156041025,2.1591014048666808e-07,6.154781627368981e-05,1.8207746015158828e-05,7.792526826075533e-06,1.7446315024923054e-05,0.0,6.307307385382214e-07,6.942152004010871e-08,2.663434132000234e-07,0.0,0.0,1.6808097245216016e-05,0.0,0.9962129090094128,26.73773945996072,141.3732079206053,2889244160
5,595,595,0.00014917270070072462,0.00014917270070072462,2.1458985196101132e-07,6.135656693476011e-05,1.8100021582170112e-05,8.021983640906266e-06,1.7642076007120074e-05,0.0,4.503261908830513e-07,8.294209608933786e-08,2.71411220808505e-07,0.0,0.0,1.388009806673619e-05,0.0,0.9962662483191393,25.912552593974397,145.87524661229193,2889244160
6,714,714,0.0001493865008424061,0.0001493865008424061,2.130700725997461e-07,6.128290428523782e-05,1.7975743866319863e-05,8.191253030817419e-06,1.7743220210331614e-05,0.0,3.2201360936981726e-07,1.0210237601566203e-07,2.7681118087467057e-07,0.0,0.0,1.8981881190224416e-05,0.0,0.996319587628866,27.50788538204506,137.41514287635067,2889244160
7,833,833,0.0001494170829934615,0.0001494170829934615,2.1158880510589737e-07,6.1012324922509916e-05,1.7854922139868092e-05,8.326964546410766e-06,1.78715926638149e-05,0.0,2.2594570462462808e-07,2.5191242375861836e-07,2.78210089202119e-07,0.0,0.0,2.7390677912210647e-05,0.0,0.9963729269385926,25.872922281036153,146.09868800056626,2889244160
8,952,952,0.00016063418117396179,0.00016063418117396179,2.1004192665223233e-07,6.129442194905428e-05,1.7720312870257882e-05,1.1057252180685594e-05,2.068001863167242e-05,0.0,1.8060272961842655e-07,1.0561217337338362e-06,3.4737759352254064e-07,0.0,0.0,0.0001297582727385729,0.0,0.9964262662483191,25.430396276060492,148.64101836896631,2889244160
9,1071,1071,0.00035052220170785276,0.00035052220170785276,2.156787755610961e-07,6.677154659493162e-05,1.8138369267506748e-05,5.598268128263828e-05,6.686595492446844e-05,0.0,1.7975996991344632e-07,8.160602517039348e-06,1.483090191247775e-06,0.0,0.0,0.00024340009521914735,0.0,0.9964796055580457,26.857372474041767,140.74347755549996,2889244160
10,1190,1190,0.0008490155985647882,0.0008490155985647882,2.2572554129626028e-07,7.559172438011657e-05,1.8890003457994362e-05,0.00017280902826102826,0.0001856510149967603,0.0,4.0020122217757774e-07,9.810196518980086e-05,4.442697529816422e-06,0.0,0.0,0.00010752678679723648,0.0,0.9965329448677723,25.45124337996822,148.5192665665641,2889244160
11,1309,1309,0.004545609879420784,0.004545609879420784,4.183347713359624e-07,0.0001953399103878943,3.3055876033912195e-05,0.001046094726881988,0.00107952876105195,0.0,8.801938545680683e-07,0.00013522435532957957,2.6800197045583335e-05,0.0,0.0,0.012887019699528103,0.0,0.9965862841774988,26.821403815993108,140.93222062247375,2889244160
12,1428,1428,0.007328828386965493,0.007328828386965493,6.433970557260355e-07,0.0003375110425670673,5.045241858400885e-05,0.0016774552049523832,0.0017248919462102494,0.0,4.454670022945711e-06,0.0003804112828942062,4.273513297650627e-05,0.0,0.0,2.2244351636064016e-05,0.0,0.9966396234872255,25.84692510997411,146.2456359476714,2889244160
13,1547,1547,0.00013971240094939256,0.00013971240094939256,1.647568806087745e-07,5.862055017296274e-05,1.3889346120690572e-05,8.71399334664121e-06,1.7589951712772416e-05,0.0,1.8381276781140336e-06,1.5014197144046673e-06,2.82074411690927e-07,0.0,0.0,1.390642242941318e-05,0.0,0.9966929627969521,26.431109716999345,143.01329155199517,2889244160
14,1666,1666,0.00013535058946766344,0.00013535058946766344,1.6534618718949826e-07,5.832866363032726e-05,1.3944682057376548e-05,7.752580944888808e-06,1.6631378246760475e-05,0.0,1.1596331748078997e-06,1.5668662564664935e-07,2.5998518602680525e-07,0.0,0.0,1.684990634419678e-05,0.0,0.9967463021066786,25.734042384079657,146.8871444129778,2889244160
15,1785,1785,0.0001358830811802012,0.0001358830811802012,1.6692665123132451e-07,5.8236778179422596e-05,1.4069285591763676e-05,7.84920372752437e-06,1.6733833116530957e-05,0.0,7.891823338588688e-07,2.1717107687383576e-07,2.618973577040061e-07,0.0,0.0,1.003176360730625e-05,0.0,0.9967996414164052,24.90498090093024,151.77686805047142,2889244160
16,1904,1904,0.00014004433430884054,0.00014004433430884054,1.6860129973537893e-07,5.8294742530773556e-05,1.4206095045511291e-05,8.836367810088045e-06,1.7672579774168622e-05,0.0,5.606451653028473e-07,1.8757128298593142e-07,2.866308262936299e-07,0.0,0.0,1.1730971016818546e-05,0.0,0.9968529807261318,26.639090235927142,141.89673770848435,2889244160
17,2023,2023,0.0001496592742143317,0.0001496592742143317,1.7011466183556534e-07,5.857690449812691e-05,1.4351173657809985e-05,1.0932473334217094e-05,2.0013464306848906e-05,0.0,4.5684218254416285e-07,1.0199173236706263e-06,3.418150409772121e-07,0.0,0.0,2.8929230150727866e-05,0.0,0.9969063200358583,24.900498745031655,151.80418828977133,2889244160
18,2142,2142,0.0001411682072483008,0.0001411682072483008,1.7153961392275516e-07,5.843963472264395e-05,1.4455320774807e-05,8.767943598372984e-06,1.7962797703928247e-05,0.0,3.2064145402150714e-07,4.7669704407800204e-07,2.875301656629783e-07,0.0,0.0,1.6607397680802804e-05,0.0,0.996959659345585,25.684225736069493,147.17204399475352,2889244160
19,2261,2261,0.0023662929359094175,0.0023662929359094175,2.734898852956032e-07,0.00011495179620666292,2.205083384603587e-05,0.0005327029748138831,0.0005637688961874191,0.0,6.68697843954075e-07,5.6034510006606716e-05,1.3742331993949684e-05,0.0,0.0,0.0010312867240004596,0.0,0.9970129986553116,26.01438035501633,145.30424897362994,2889244160
20,2380,2380,0.0055745689449684015,0.0055745689449684015,2.918249214220003e-07,0.00012857424302849545,2.3858489417261568e-05,0.0013166343755699774,0.0013667458691141473,0.0,9.381084780000144e-07,0.00012281752860198374,3.284077409059844e-05,0.0,0.0,0.012950624933555012,0.0,0.9970663379650381,25.135001164046116,150.38789834659045,2889244160
21,2499,2499,0.0045387520641150085,0.0045387520641150085,5.35408731285657e-07,0.00027246551396307983,4.2889440360509236e-05,0.0010096025541233805,0.0010615866407793614,0.0,4.61389951284662e-06,0.00015998203225219893,2.5680519723921924e-05,0.0,0.0,2.3975115410783994e-05,0.0,0.9971196772747647,25.059679582947865,150.8399174653511,2889244160
22,2618,2618,0.00013939679085052812,0.00013939679085052812,1.7948556704997644e-07,5.9253210263454885e-05,1.5110745485924386e-05,7.84073318374804e-06,1.6926902320673912e-05,0.0,1.0631681831270085e-06,2.423302005179904e-07,2.6274692903604424e-07,0.0,0.0,1.5206532961677849e-05,0.0,0.9971730165844913,24.637734449934214,153.4231975623105,2889244160
23,2737,2737,0.00014295185865001586,0.00014295185865001586,1.8179591689110408e-07,5.931064642647961e-05,1.53050165589241e-05,8.645625621765339e-06,1.770187062368403e-05,0.0,6.247678156580064e-07,1.7690269067041675e-07,2.8267075174245826e-07,0.0,0.0,2.5489591366966212e-05,0.0,0.9972263558942178,24.35419730900321,155.2093855543585,2889244160
24,2856,2856,0.0001408509423579927,0.0001408509423579927,1.8376501454546452e-07,5.9321860494227613e-05,1.5485220045241202e-05,7.973155637349313e-06,1.7148550879995574e-05,0.0,4.7251908091268324e-07,1.543703248672493e-07,2.6669154799696907e-07,0.0,0.0,2.5272384404420985e-05,0.0,0.9972796952039444,24.39047942403704,154.97850346782343,2889244160
25,2975,2975,0.00014429616382426863,0.00014429616382426863,1.8619639647676238e-07,5.9347029186528987e-05,1.5689547457941683e-05,8.673522828007303e-06,1.7940481561396233e-05,0.0,3.4626291670326315e-07,3.212828745734528e-07,2.847583690379512e-07,0.0,0.0,1.4054453224941556e-05,0.0,0.997333034513671,24.15967882599216,156.4590335502843,2889244160
26,3094,3094,0.0001898886361030034,0.0001898886361030034,1.9046159886110452e-07,6.0661247109584064e-05,1.6039450422184058e-05,1.9275148949740922e-05,2.8692997748582877e-05,0.0,2.645649130780113e-07,4.42747762121151e-06,5.489033106814964e-07,0.0,0.0,4.741831494140483e-05,0.0,0.9973863738233976,24.46116465504747,154.530663331274,2889244160
27,3213,3213,0.0008734070928767323,0.0008734070928767323,2.1563677822967524e-07,7.518303863767032e-05,1.803703154788338e-05,0.0001813899556057227,0.00019634237587476573,0.0,2.7925252537453983e-07,2.7553796229209405e-05,4.6550166949581434e-06,0.0,0.0,0.0007169295784219035,0.0,0.9974397131331242,24.62978821701836,153.472696017262,2889244160
28,3332,3332,0.002058244088329572,0.002058244088329572,2.48240991080695e-07,9.358936572594016e-05,2.051403279000186e-05,0.00045572474959833676,0.00048231338831428535,0.0,1.4072349372040452e-06,0.00022418169680383504,1.1625481198838095e-05,0.0,0.0,0.0004900033582955421,0.0,0.9974930524428507,24.83533452800475,152.2024998591264,2889244160
29,3451,3451,0.000666620776275291,0.000666620776275291,2.2364263883152716e-07,8.090748771946267e-05,1.8478999052642692e-05,0.00012952396017098898,0.00014228272976223797,0.0,6.692063256820505e-07,2.091395422344706e-05,3.3427851925442048e-06,0.0,0.0,9.541821595381147e-05,0.0,0.9975463917525773,24.647443259018473,153.36276303696945,2889244160
30,3570,3570,0.0007227155456329306,0.0007227155456329306,2.1132192847246534e-07,7.424418749112178e-05,1.7706846951373986e-05,0.00014534632210073397,0.00015977537561276997,0.0,4.942083930077604e-07,9.025054835850217e-06,3.7425955414373818e-06,0.0,0.0,0.00020095448680443778,0.0,0.9975997310623039,24.415451893932186,154.81998926013813,2889244160
31,3689,3689,0.00035058540617307975,0.00035058540617307975,2.0163237106723582e-07,6.839393456136961e-05,1.6892700875393564e-05,5.583059795773046e-05,6.705658979530362e-05,0.0,5.228357510400157e-07,1.0391927732704428e-05,1.49695662284579e-06,0.0,0.0,0.00024826254708126984,0.0,0.9976530703720304,24.22468432900496,156.0391850173292,2889244160
